Paziente,434,114,163,5,289,153,262,211,470,300,79,456,285,334,69,418,307,505,239,38,349
5,188.13254,10.738639,240.6465,246.67665,114.62045,0.0,0.0,0.0,78.414,80.29886,34.700657,0.0,0.0,0.0,0.0,317.66214,0.0,0.0,0.0,107.30541,98.14739
12,0.0,0.0,98.91255,24.462936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.20952,0.0,0.0,7.330316,87.075874,187.02684
15,0.0,451.72104,343.23605,310.4538,110.45926,0.0,0.0,0.0,0.0,105.52779,0.0,254.24867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,171.02258,79.74975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.345142,0.0,0.0,0.0,0.0,189.43033
17,0.0,0.0,71.932045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.621998,0.0,0.0,0.0,80.24179,298.71042
19,0.0,0.0,77.262436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.73776,0.0,0.0,0.0,86.69826,0.0,0.0,0.0,0.0,200.72136
22,0.0,79.39491,80.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.68005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.074165,104.79863
23,0.0,417.53345,78.815895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,84.482155,0.0,219.6864,13.223285,267.80896,5.6595035,86.4545,0.0,11.676595,0.0,12.76629,181.84848,0.0,120.30986,110.88162,148.22667,0.0,17.06181,0.0,31.954437,0.0
25,0.0,0.0,72.688194,0.0,55.291992,0.0,0.0,67.1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,40.30728,0.0,132.42448,0.0,8.947029,0.0,0.0,36.394505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.65044,0.0,0.0,0.0,0.0,234.57669
