Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
46,15.5875435,9.733375,2.708241,2.101892,4.6203012,22.593002,13.630201,1.1745778,1.845589,8.747776,3.1248553,12.452795,13.340839,1.2384512,31.391582,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,11.053381,8.331518,0.0,5.1325088,14.795764,29.85542,7.0545516,3.887106,2.019868,1.9908378,5.7174807,19.952286,14.106625,0.0,30.014034,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,11.746336,12.90951,1.074393,2.076131,7.5847526,22.782022,10.443386,2.2876894,2.4814324,0.5336735,3.8206093,13.12213,15.198781,0.0,28.995535,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,10.327734,5.315168,0.0,6.4934373,0.0,33.06007,6.20755,4.177258,4.238244,4.338928,3.506921,12.042626,19.296387,5.6752634,30.122293,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,19.020844,6.188884,0.0,0.8837612,6.9875875,21.378162,13.708556,3.1345315,2.6100502,3.2699614,5.9646273,12.078166,18.11958,2.8975132,26.901245,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,13.893604,4.2342997,3.0124886,4.062902,3.7346644,25.001226,9.368902,2.8094804,4.2299747,3.5880618,3.8524168,13.587479,23.785824,0.0,33.57206,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
54,17.135838,7.5031433,2.5713377,0.017909065,2.6168666,22.468206,11.921158,1.7709666,0.52371526,1.4842682,6.0113077,10.026521,20.16657,3.3355567,32.395466,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,9.7761965,12.25152,1.4509907,8.45502,1.6077968,29.443556,12.164382,10.90276,4.245092,2.7212214,8.60307,8.156939,19.689075,12.389398,22.801542,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,6.334619,7.3439527,4.599842,12.758869,6.427339,28.890505,5.988788,0.61674154,3.0208006,7.0669537,4.524947,17.689503,17.400827,0.0,30.794899,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,12.202619,2.5002003,0.8397465,5.436735,2.0823224,23.241484,7.5239215,3.347754,6.52104,1.4745717,2.8646665,8.883437,20.783169,1.3425245,34.348026,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,15.78046,5.2466726,1.3654066,1.2883708,2.394218,17.898594,13.212823,4.6522455,4.479205,7.2299523,3.6222322,14.711165,16.059141,5.1705685,32.64615,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,15.929251,6.212423,0.0,0.52772284,8.3557205,19.311811,13.7669115,0.0,1.0489235,0.8522847,1.1242144,8.382393,19.953358,0.8900525,29.801142,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,10.575461,5.5434923,1.0106168,6.473257,5.615331,33.78281,10.691948,0.01580733,1.5365254,2.2017426,1.4856492,12.155574,18.425375,0.0,30.920307,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,14.820309,7.226725,0.0,1.2824936,5.700609,28.332232,12.834796,0.0,4.161427,7.2637215,2.1151228,10.801124,19.620354,1.1562159,36.484844,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,13.012107,12.787729,0.0,7.8253984,2.1867316,23.075848,11.98203,9.937604,6.7490745,2.1242082,7.652766,6.1369176,20.105404,10.707255,23.210913,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,4.3626122,21.539677,0.0,13.051386,10.225771,25.376163,15.840345,0.0,3.2795472,0.078143775,0.0,18.669228,7.7439556,14.624335,16.933455,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,6.581025,9.784393,1.1772408,6.0338016,8.825051,31.923458,8.829688,1.035591,3.0543098,1.6972806,3.562972,14.133978,16.49358,0.0,31.10628,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,20.098837,8.625672,0.22785659,0.5366907,5.2231917,20.530836,14.975885,2.2090333,2.287877,3.533081,4.3816605,10.818194,21.266209,0.0,31.82813,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,4.179281,19.543615,0.0,8.568999,8.042435,21.756413,15.179328,3.006413,5.090038,19.348593,3.1954908,21.563885,13.969261,17.00343,20.439919,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,13.306021,9.095103,0.8676199,8.649645,1.0306612,26.134216,11.286707,5.2280784,6.873592,1.639193,5.1935205,11.30205,22.442982,8.413685,23.377161,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,3.9333415,22.805412,0.96437407,4.9268537,6.2604117,26.105728,13.083725,0.0,1.1448259,0.75895756,1.8303623,21.794218,11.079214,6.4059706,22.50959,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,14.653317,10.887567,0.0,10.258345,4.1879773,29.389723,12.139554,2.1475918,1.708311,6.5557213,5.519311,11.030286,15.328204,13.110076,31.31831,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
76,0.0,4.045505,0.0,11.122787,7.6894436,21.567839,5.167918,2.6936977,0.0,8.496671,5.411641,16.363106,14.878129,0.0,22.365551,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,9.430297,8.600589,1.9433239,4.071917,3.061734,23.469381,9.530118,6.961475,5.3096685,2.901,8.351599,13.002899,27.307089,0.0,30.037031,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,8.792388,6.2051497,0.0,9.717895,5.3278127,32.267612,12.491942,5.928923,3.0142999,3.192558,4.875643,9.634217,17.095493,10.329194,32.53687,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
81,13.313668,9.283478,0.3313076,4.5924544,2.2662413,27.228594,7.9397993,6.268041,5.1380014,2.1897695,7.939148,10.930965,22.70122,8.239152,23.766157,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,9.217339,5.447413,2.759664,5.0370693,5.2054963,27.672943,5.2860208,1.6941459,4.017149,4.3055744,2.4434981,11.474597,17.027931,1.7921054,31.478703,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
