Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
31,0.5128436,0.09138414,0.12516797,0.5409334,0.40148872,0.15079087,0.37802422,0.0,0.10315776,0.4182457,0.80645204,0.58134395,0.85733235,0.24744031,0.0,1.5659464450600185,1.4003570329332102,0.9056549928478016,12.25792298086151
33,0.48576713,0.4512554,0.332905,0.7790452,0.35304558,0.18745136,0.44089127,0.3344308,0.09930885,0.075219005,0.70555276,0.85793763,0.8071318,0.061123073,0.11049329,4.296364226679047,4.548681085206851,0.9509208003971644,90.6299104713213
35,0.20788014,0.062121242,0.07118371,0.4160773,0.2381587,0.45271266,0.538344,0.5743972,0.20295465,0.2834802,0.6170335,0.4473986,0.681768,0.03519526,0.0,1.9138965835641737,2.7433056325023086,0.9299312617129912,25.437758966420706
36,0.19022214,0.04769379,0.0,0.63419724,0.5569352,0.2582248,0.0,0.0,0.1418094,0.083355755,0.5061753,0.36214507,0.7123038,0.1117734,0.029668361,2.6669376668729963,2.297188680814109,0.9459252857301176,37.40094478092042
38,0.76372814,0.22265014,0.33898175,0.68042254,0.501392,0.19238949,0.51363623,0.33663344,0.236767,0.39366302,0.8890301,1.0460179,0.69694614,0.1416569,0.16997175,4.081736775662116,3.8189964743820353,0.9312082999876398,72.26996384065792
39,0.7935957,0.18984523,0.20346397,0.82706857,0.5782515,0.0748533,0.24494565,0.16028512,0.17067301,0.12733558,0.8591174,0.9403396,0.90745115,0.28152993,0.18681817,3.184625078764965,4.104127284183995,0.934983234825402,43.52469859371877
40,0.69915533,0.11600211,0.123016685,0.6350728,0.29890263,0.35705042,0.26614594,0.3985889,0.19700778,0.25294057,0.7549392,0.94663495,0.81903076,0.14714321,0.106425285,2.1952545940967503,2.423358624621727,0.9382458974692588,26.29470435733485
41,0.36194944,0.0,0.16981882,0.423691,0.37913394,0.16458195,0.41096509,0.31672657,0.1604355,0.50917375,0.58914965,0.54369617,0.69691116,0.2295548,0.0,3.30594690403889,3.639275893078236,0.9210363536342456,30.90501244388865
42,0.019159436,0.68367255,0.038045198,0.9806069,1.0011104,0.1463803,0.8718983,1.1474001,0.20034897,2.096631,0.43075842,1.2191207,0.66169167,0.8447825,0.29107922,3.5329410873462788,3.606727102850938,0.9259408630169356,27.682704117302496
43,1.2408516,1.4167967,0.0,1.4047983,1.6682053,0.6087401,1.2870803,0.7088506,0.09938866,1.3129314,0.4542197,1.5157788,1.443131,0.9760816,0.18799846,3.5102011545770737,2.9547133278353472,0.9287376541240822,30.82180281071585
44,0.10927981,0.00979808,0.0,0.58922374,0.7702733,0.41909826,0.28167212,0.0,0.2923842,0.27975252,0.28724948,0.5970985,0.73291,0.01347667,0.0,1.3481,1.3041,0.917096076788918,22.78986095693928
46,0.6771337,0.21879253,0.12808633,0.8039712,0.28749585,0.3601749,0.21477485,0.21778095,0.1855703,0.12795189,0.7213921,0.5488097,0.87455034,0.16776007,0.1381846,3.623805792073541,4.746858737859803,0.9539721753699162,34.67153633765198
47,0.399727,0.22130516,0.041990966,0.63467765,0.3200637,0.49545836,0.48790324,0.4266783,0.2535925,0.20453379,0.64714587,0.5334661,0.7675966,0.0,0.080261305,3.0243230251562245,2.7545842012498,0.9323555028205216,47.21812498457704
48,0.5514798,0.31018743,0.25270176,0.8079206,0.3059994,0.43827188,0.39353836,0.5112288,0.14062518,0.25351527,0.7699602,0.8658671,0.90472263,0.010060549,0.10428472,2.6327370396515213,2.3567776036913965,0.9257462825044676,26.127250942087336
