Patient,Slice,Feature_194,Feature_129,Feature_655,Feature_414,Feature_1219,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
16.0,183.0,0.08898038,0.1698793,0.43523985,0.34885058,0.0,0.2067786705624543,0.458606373346126,2.974317019722425,2.433484295105917,17.325093869967198,13.0
16.0,185.0,0.13262308,0.21452989,0.43882895,0.3605152,0.0,0.1430105506188085,0.4690608568258768,1.8757013611103652,2.2764101049692607,15.1838427779591,20.0
16.0,184.0,0.111879535,0.19618352,0.44016477,0.3610752,0.0,0.1512842301471999,0.483829447473482,1.9749458622296536,2.301471999122831,16.097432095332227,18.0
16.0,186.0,0.15048993,0.20850722,0.43561372,0.34679243,0.0,0.1748757081743554,0.4678055365642557,2.6852815354376225,4.160480980460169,14.24076130936194,19.5
17.0,173.0,0.37869757,0.21096845,0.27954555,0.18386686,0.0,0.1233140411089018,0.5501355641720928,1.6692544420663369,2.007624016919745,15.94233433415114,0.0
17.0,172.0,0.4046486,0.21766205,0.2848401,0.20005262,0.0,0.1082314049586776,0.4844464369878819,1.322499173553719,1.268019834710744,17.255152478238152,1.400000000000002
17.0,170.0,0.57933295,0.38633937,0.2555842,0.1941464,0.0,0.1078633755904813,0.5147806523266478,1.3877990400324212,1.6196603386481934,18.046318656058915,-7.0
17.0,169.0,0.58722985,0.4989046,0.25302458,0.21057844,0.0,0.0954260380622837,0.5334127451123049,1.5963992214532872,1.8191500865051904,18.232806774295337,6.300000000000004
17.0,174.0,0.38625336,0.21267734,0.2716387,0.18229309,0.0,0.1286126460951635,0.5490448231697626,1.954227590591227,1.8730500268961805,15.362284188647752,1.5
19.0,141.0,0.13640876,0.18923284,0.40605852,0.33369377,0.0,0.0658973056388923,0.5914035576380969,1.4081990625808738,1.9651487122468343,19.04356750659486,30.00000000000001
19.0,142.0,0.16842462,0.18780704,0.4048005,0.33248237,0.0,0.0552847365702479,0.6159274693877897,0.7489346590909091,1.4860537190082646,20.045703336915743,43.2
19.0,143.0,0.19462202,0.18453251,0.39882153,0.32813758,0.0,0.0594048318916043,0.6130776358847895,1.8393941938915483,1.1390778533635677,20.38186560744549,60.0
19.0,144.0,0.20934422,0.16938643,0.39281958,0.33912063,0.0,0.0601813333333333,0.5626789073499596,1.4615182222222225,1.5486862222222222,20.281868119064228,47.4
19.0,145.0,0.19726358,0.13230996,0.4096438,0.30953422,0.0,0.0653326600176745,0.5253018199174591,1.3563943946471406,1.3268526701174097,19.84943741847171,55.5
22.0,207.0,0.13309383,0.14956258,0.4683483,0.25359294,0.0,0.0862057752341311,0.5494099260455592,3.144494667013527,2.173630983350676,27.7972282134028,27.0
22.0,208.0,0.09101598,0.16105835,0.48744848,0.24452832,0.0,0.0752970289649826,0.5805787459809325,3.0755206392272028,2.3770963462083152,27.886145273544457,30.0
22.0,209.0,0.05549673,0.14689495,0.48641965,0.26068142,0.007817093,0.0920310819039085,0.5792789709402458,3.2169959838343813,3.672447463316602,28.76569963179005,38.0
22.0,210.0,0.046866916,0.17060368,0.47186062,0.29268515,0.024336703,0.1065760829863393,0.5410441012243835,4.319953247132735,3.1705340054058,28.099959370235517,42.400000000000006
22.0,211.0,0.01620021,0.20096244,0.47380093,0.32001236,0.032599688,0.1295080053899776,0.4901779540441087,4.276066589565936,2.987872550371887,27.41979685970727,47.0
23.0,258.0,0.062336795,0.28828305,0.43759254,0.37964916,0.0,0.4184243460211837,0.4396511069200739,3.7236653337810206,2.934098470742652,20.597775757898827,37.1
23.0,259.0,0.053658433,0.28132552,0.43066224,0.38245326,0.0,0.408137326515705,0.4550013929791334,3.0489408327246164,3.105478451424398,20.979144153926505,42.0
23.0,260.0,0.008487271,0.26875275,0.45399705,0.38521227,0.018775716,0.3790577777777777,0.4298475077589395,3.2172373333333337,3.6461795555555554,21.416119520873803,40.0
23.0,261.0,0.0,0.27847707,0.47177166,0.3893591,0.04045976,0.3820239334027055,0.4340973511735777,4.128569776852816,3.898340848653024,21.365976709483643,36.0
23.0,262.0,0.0,0.25000215,0.49721748,0.4062349,0.041570365,0.3934609346697258,0.4268193102096991,4.454564666103128,4.270800627943485,21.235861145493296,34.300000000000004
24.0,137.0,0.3425665,0.04098381,0.2227594,0.02129957,0.12175494,0.2474673008323424,0.5468091614545758,3.254411414982164,2.841189060642092,38.038999366531336,41.900000000000006
24.0,135.0,0.094632514,0.21722598,0.2779038,0.089184046,0.054763667,0.2760423897450136,0.5524222912063468,3.7260863529085104,2.8707482993197284,37.2412961759734,39.0
24.0,138.0,0.42681253,0.0,0.19481695,0.0,0.1300911,0.2512170518836893,0.5333035706362216,3.516687864567343,2.9516687864567337,38.49672591490535,43.1
24.0,139.0,0.46844143,0.06473552,0.20611754,0.010912251,0.15744984,0.246429010861176,0.5664469149561875,3.277055066498138,3.0788022505341104,37.991417873636536,44.2
24.0,134.0,0.16277471,0.02058269,0.20085946,0.018313084,0.06829334,0.2688754264347023,0.5450675622731309,3.246488363340577,2.9939176146365742,36.37004715886152,45.2
25.0,195.0,0.27216363,0.26116616,0.4510894,0.30063504,0.0,0.1271626297577854,0.4598424514584613,1.9796712802768168,1.7060986159169549,22.92819665161845,29.0
25.0,197.0,0.33540928,0.28929073,0.4340174,0.29382935,0.0,0.1299510964526835,0.5639131518526221,1.6868518729128112,1.8653446511098932,21.657093123556155,24.0
25.0,198.0,0.32795978,0.2564538,0.42816725,0.31844646,0.0,0.1211100908070604,0.5538884463767051,1.748619755353762,2.120282510854901,20.26804497128967,40.0
25.0,199.0,0.343486,0.2251962,0.4216024,0.33260322,0.0,0.1277913304559955,0.5829499852599819,2.4668324263464063,1.848939763557891,19.843959386918517,41.0
25.0,196.0,0.30528688,0.27836317,0.44245934,0.28139293,0.0,0.1235361471051706,0.5410796606359204,1.939598000204061,1.714881701413688,22.36297988117329,29.0
26.0,147.0,0.1886001,0.26107383,0.42764974,0.2466127,0.010932669,0.1070547249237915,0.3363559423771063,1.4359123239947744,1.262737697779068,16.72291758896659,29.0
26.0,145.0,0.18403287,0.2783712,0.4241077,0.25026035,0.0126786865,0.1410618679357525,0.3592537371916167,1.2986317668054728,1.488994646044021,18.346639090311303,26.500000000000004
26.0,143.0,0.19519207,0.28574866,0.38993266,0.28316328,0.013944667,0.118543388429752,0.4345770883916648,1.587680785123967,1.7829287190082643,19.752053067279537,46.5
26.0,142.0,0.20065175,0.26249683,0.40278086,0.27946064,0.009640079,0.0958299779419488,0.4140089715613727,2.8139771016421,1.2899408284023668,19.58499560704632,31.0
26.0,141.0,0.15773174,0.28094262,0.4139131,0.28528503,0.01308706,0.1061837712294963,0.4001347236188916,2.039628393090434,1.4086224415735231,19.13603474963119,28.0
27.0,257.0,0.0,0.28644544,0.6521975,0.15754512,0.006595783,0.1802045004484264,0.7291740678717802,3.270775406899249,3.647826761282027,28.7424595646882,64.60000000000001
