Paziente,252,502,88,444,494,3,495,352,425,493,273,347,430,389,290,335,296,384
5,429.474,198.43161,81.16376,205.00703,0.0,65.31554,216.90541,204.8382,125.98585,220.19945,191.46814,0.0,265.36368,94.191475,166.31126,492.79926,61.98083,0.0
12,672.2047,574.87103,905.15027,869.9624,1790.7101,1883.7678,936.50757,810.148,1691.5662,544.2074,633.3433,229.54079,867.39844,185.55324,770.99194,702.9116,327.7482,865.46014
15,836.2542,574.2545,847.50256,576.3768,1532.4191,1119.7957,629.2189,721.3609,783.0595,615.884,704.85443,214.25523,813.6393,279.17105,785.951,1204.4988,161.78618,941.6746
16,628.21716,575.4673,720.2261,642.28735,1582.9082,1635.4451,806.90466,972.0019,1375.776,596.932,647.0309,231.22762,896.7533,172.82237,725.8919,897.8386,141.46558,918.69824
17,963.25397,571.4404,893.4546,506.51166,1228.9218,1452.8923,801.95776,1234.7798,1300.4485,686.8154,688.1339,223.86882,920.9577,189.03214,803.6749,625.4062,217.8412,707.91754
19,828.37225,574.06824,745.07196,812.8109,1466.4991,1429.5895,767.2527,800.99164,1394.4011,660.1974,687.56146,222.31667,925.1773,163.6599,991.4568,1150.7634,193.57298,754.85693
22,553.4388,565.7361,845.3415,711.156,1790.8309,1445.7134,724.6299,853.9788,1462.6556,693.9027,748.83765,172.6907,571.7913,180.2931,968.717,1198.1547,230.34126,484.93903
23,608.05383,569.87463,839.0394,689.0401,1941.9149,1477.1427,701.65894,703.94836,1298.4204,584.98315,706.1548,203.85426,990.7613,178.02148,860.71313,1087.8702,154.29214,1136.6699
24,250.47453,161.52443,52.789463,38.036182,394.6292,239.44243,13.629794,164.36736,18.951227,178.74246,234.49579,0.0,140.17856,7.0234013,574.8246,353.64975,48.739677,0.0
25,995.59814,557.3081,282.9904,673.65076,1290.9127,982.60876,637.7633,789.4962,948.962,655.8559,731.58356,164.90533,583.2211,137.67172,604.5283,517.5223,106.45228,1095.2847
26,796.5957,557.51196,390.96933,743.21924,1266.9452,1074.7773,746.5779,787.33386,1033.1709,562.1381,721.7886,200.12834,664.075,125.627174,675.64685,691.88556,138.38759,845.0113
27,924.17084,632.28644,681.52,608.09705,1756.114,996.8507,582.5575,822.7564,671.808,686.7293,698.3844,109.84833,813.1357,179.04706,1189.1614,1232.629,128.71199,650.60815
29,512.9486,575.4892,733.41174,569.49005,1583.4724,1462.6847,715.9776,923.01697,1241.116,578.4715,646.6769,231.57254,803.42676,172.79979,948.0777,912.44037,174.76161,822.6176
30,446.84955,569.13257,811.8171,555.04504,1391.5253,1423.6434,752.09186,794.09973,1376.7683,413.32468,638.095,232.47458,841.7714,203.00937,885.6357,1212.0986,173.97153,595.2452
31,846.139,558.96924,624.33234,567.44244,2008.6798,1214.8772,613.82495,1121.5712,1281.9836,387.04803,489.91116,248.15077,963.9923,200.04666,902.4618,825.05396,152.14507,693.64185
33,681.23474,570.5335,831.5386,677.53253,1681.8884,1307.8649,753.5289,920.0973,1280.3859,677.9586,680.49225,202.03522,565.30347,159.22714,959.726,986.7369,190.49905,494.42078
35,518.00354,574.89215,615.7389,619.50726,1045.699,1383.6986,970.9757,866.1894,1903.8202,427.69968,648.6455,220.56346,780.1245,159.23566,511.1221,670.77216,159.73676,623.40027
