Paziente,243,451,509,593,629,1049,1116,1309,1614,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
60,1.9640636,6.398504,1.2078732,0.689294,1.9323053,4.6561956,0.6110282,1.8175118,0.3863073,4.162078841958728,4.895881891737648,0.9451997602496632,53.2245233026687
61,8.978017,6.222551,1.8125567,10.808668,1.7836246,2.631386,1.0803096,0.5875733,1.0822499,3.0335683077338857,3.8350186928516736,0.938775693112606,50.62324372826803
62,6.789713,5.6491733,2.314057,9.576126,7.2552037,4.668193,0.5379691,4.3245883,4.5563407,3.714379105912514,4.186803396891524,0.9401022378722974,40.71155662775966
64,5.719643,7.457605,4.302177,1.3664138,2.5353084,6.329239,3.0222597,3.2778544,2.0514119,4.128813701973656,3.7865028265230256,0.9322202956951844,71.85878981104007
65,5.6415505,4.7349844,3.010273,2.8205051,2.1503637,3.6978672,4.1683593,4.685626,4.601521,3.337819793836458,3.2115579768199543,0.9419478344340716,37.34695649646071
68,8.568671,5.834732,1.6839541,17.895077,0.84252244,4.2227583,1.6093897,1.3254088,2.5104187,1.914731613523474,1.4555359717993912,0.9227813697146388,21.60670221430609
69,4.2486615,6.0918374,1.8859627,0.0,4.928247,2.8408172,2.1877494,2.0699017,0.0,3.986594458534353,4.145725672660705,0.9510561694592315,64.60498519925105
70,9.657918,7.7297897,4.029318,0.9512089,0.8157039,5.8942184,3.712164,3.7506552,4.115109,3.4982642146744234,3.678222931131544,0.9520855549071804,30.67742029810653
71,4.3958325,7.4926934,2.613688,0.0,1.8766708,3.350502,1.1598767,1.3088552,0.19026855,4.477230933962337,5.174975364871471,0.9686312152097456,48.70236727640415
74,5.080016,9.06399,6.3867583,1.2185295,1.9996614,8.500312,1.37957,2.348454,3.668571,2.595449175088611,2.0753087574055025,0.9073764609042364,39.3076168397047
75,1.9829452,6.8621435,2.7642927,0.0629161,2.0227187,3.6552618,0.9572115,2.3321161,0.32936364,4.275497927516208,5.098582208523754,0.9487388398731184,56.70604563645827
76,2.8960602,5.1227336,4.0304832,1.0426662,0.60749096,3.2953258,0.14937466,2.8857808,2.3900669,3.3822265928264583,3.583458413125615,0.9290697861252488,43.245008754686175
78,2.2764478,3.9010613,2.584822,0.0,3.9887471,4.499491,5.828975,6.419353,4.852812,2.64764528400892,2.0508611157961805,0.9250708111693852,48.62082090122192
79,9.797294,9.640086,6.185541,5.7329216,2.3427436,5.9530544,5.6780577,9.191015,6.7026334,4.276668402499599,4.376972840890883,0.9541989947092804,64.8329261152096
81,12.032332,5.3281097,6.0257955,20.861942,3.9977612,3.2358565,0.015958816,0.0,1.081521,3.098348348348348,2.353096339582826,0.9256010528885532,38.124274310437904
82,2.8901317,4.023381,1.6660235,1.3821073,0.16445607,7.0193744,2.0948653,1.4089891,1.973742,3.204838630366012,1.979183399170614,0.8940564626118581,34.05449117223396
84,4.631766,3.5124803,1.3730587,0.64920425,2.3122969,1.7921605,3.537928,1.995758,1.0399396,4.30454387790496,4.45379684228106,0.951381848997054,70.43229676891843
85,4.262165,3.031191,2.585621,2.3582869,5.02012,3.5002658,5.4568605,6.07454,6.5610595,2.102458247325952,2.321542503283918,0.927854945273855,22.326042553094656
86,2.9826422,4.9583993,0.98849857,1.0728495,0.93242294,4.5760393,1.8280817,3.3717146,1.3139708,4.124218869074836,4.790123456790123,0.9315517716737416,24.02194598147496
87,2.7561052,10.580468,5.253712,1.7354424,7.247587,5.8683276,1.9127353,4.054199,2.3685334,3.958802499248221,5.044004143138761,0.9320575560782868,42.42320944706593
88,11.808699,5.120402,3.3593493,17.933886,1.8637717,5.02966,2.6040215,3.4772658,3.0636415,1.811211928169281,1.5948589039444911,0.9127742488291748,30.58394226255528
89,6.798651,7.821991,8.696564,7.3845468,0.81945187,4.4442654,2.8538342,4.6080394,8.843938,3.431027446178961,2.534945413733293,0.92329829169295,35.42339118171775
90,7.6408067,11.191906,2.6832092,2.2844248,4.5994196,6.156341,4.1804886,4.509777,1.5596247,4.519525430739006,5.4490102289743065,0.946302503725752,95.25969797057957
91,11.53261,3.310142,1.0205164,7.655449,3.4253953,3.8100197,0.7316828,2.5870137,1.5181048,2.9699826388888884,2.49984375,0.9307664092992488,29.87762524728318
92,8.773705,2.959459,1.8607669,5.0014396,6.09568,1.2680968,1.0620979,1.4342791,1.1668186,4.435716395071008,3.866251442991758,0.9270265819943746,36.980399884344514
94,3.7779117,12.418631,3.5538719,1.8995929,0.0,5.2831774,3.0182095,0.13350111,1.1358781,4.382114631541474,4.023211107155571,0.9352647370364464,33.17476049350593
95,4.15923,3.954138,1.0363601,0.75500685,1.0044136,2.0927048,6.977774,3.2533982,2.2617214,4.2262856668448165,3.094172404667888,0.950521734774424,62.25560982873925
96,2.2641258,5.5461593,1.8452213,0.461084,0.9624892,4.725121,3.0003715,6.8955817,2.921492,3.8513039475563886,3.40604117394962,0.9268097512140208,38.9411225476651
98,2.9282477,9.579205,4.3676653,0.2076304,0.22138715,6.31235,4.6665273,0.33453238,0.26812786,4.301878599270065,4.558741121369713,0.9465599526562524,84.53111301548832
100,15.841755,6.9179654,4.374983,15.092091,4.112152,3.5340178,1.3168623,1.36341,2.669638,1.5227049425434662,1.0115340253748557,0.9137475828746542,21.75216329793533
101,5.329254,6.7048726,3.6713502,3.9857817,1.5433788,3.0800695,2.636682,4.147438,3.00418,5.323335922604336,4.898580608714074,0.9573603600119128,61.13888576842714
102,8.046015,2.2930903,1.3543177,8.908783,1.9085574,3.7467577,1.7175575,0.5642442,2.3896022,2.703818359375,2.063193359375,0.9279234775061423,57.96347836511717
103,3.0393195,7.3322334,3.1390688,0.99687535,2.0164518,4.9087887,1.5917321,1.5071853,1.798064,3.307323820340209,4.771186924604559,0.9503616910461564,47.125688909970194
104,3.4185808,1.4842398,1.9116449,4.984122,4.126993,2.9341288,1.8676921,2.9929054,3.6590648,2.4280420683726343,2.6143326273628875,0.9237922133322596,40.21458619331042
105,9.006264,6.4866567,0.37942585,23.335075,4.6063414,3.184512,2.1839204,9.101965,5.5048285,1.325173725299551,2.051016614715892,0.9186748336847896,28.27146596713302
106,2.5034802,11.107591,2.122216,0.94788104,1.4073505,6.8677416,1.5463109,2.5396395,0.37368584,3.225047685686626,3.79526306204411,0.9417859575240066,56.62170427640328
107,10.722336,4.1254025,4.0805936,22.525623,4.8611336,6.560141,4.327415,3.8406377,3.0923486,1.9634755928809864,2.076287835561584,0.9198244369149372,49.00996907375144
108,4.715544,11.834344,3.2959669,2.193943,3.069897,5.9235473,4.937596,2.8103483,1.1844923,2.4460356652949247,2.363566529492456,0.9178227754243792,24.661868905023155
109,7.9951334,9.10239,7.8908525,17.080822,2.700529,4.221384,2.1600618,0.6515185,2.3237364,1.64470308706806,2.053477040684561,0.9096282939995864,16.005110098666
110,4.599857,15.516217,10.987989,8.5242815,1.3992496,14.341287,9.395882,5.288618,5.6089945,3.2603756744695525,1.8743153880481969,0.9194790719137048,39.37077302466598
