Paziente,100,2047,326,717,951,2008,1976,1701,1331,1951,1836,591,847,1600,630,113,1657,1336,1181,1775,1891,1213,874,1275,1969,1596,974,157,wavelet-HH_glszm_GrayLevelNonUniformity,wavelet-HH_glrlm_RunLengthNonUniformity,wavelet-HH_glcm_InverseVariance,wavelet-LH_ngtdm_Strength,wavelet-LL_ngtdm_Strength,wavelet-HL_ngtdm_Strength,wavelet-LL_glcm_MCC,wavelet-HH_glcm_ClusterShade,wavelet-HH_ngtdm_Strength,wavelet-HH_glcm_MCC,wavelet-HH_glcm_Correlation,wavelet-LH_glcm_MCC,wavelet-HL_glcm_MCC,wavelet-LL_glszm_ZonePercentage,wavelet-LH_glcm_Correlation,wavelet-HH_firstorder_Skewness,wavelet-HL_glcm_Correlation,wavelet-HH_gldm_DependenceVariance,wavelet-HH_glszm_SmallAreaEmphasis,wavelet-LL_glcm_Idn,wavelet-LL_firstorder_Skewness,original_shape2D_Sphericity
26,0.0,2.8968427,0.0,2.9401922,4.210314,11.225768,0.0,3.928049,8.276101,3.6110797,3.2136652,2.641533,11.132273,4.3814025,3.6678464,0.0,3.0182881,0.07696426,0.0,2.606451,2.1381445,0.0,0.0,1.1522002,7.752325,0.0,1.4502844,0.0,6.68,44.65863238229869,0.4573264125078142,4.067527864571189,47.28405892161863,2.1012871277496186,0.8429165313210275,0.053588245283988,0.1700715076694952,0.2632295226015951,0.1941191048911791,0.5802776639830434,0.5264620217889164,0.8536585365853658,0.3592537371916167,0.1158976206063055,0.4758435476373954,2.6531826293872696,0.4754606167148659,0.8875053898762981,0.6031841064811158,0.473445359363358
27,0.0,6.6682434,0.5390228,0.0,0.7631625,13.631385,0.3141648,2.9334788,5.6544437,1.325168,1.3223531,4.7011824,14.007078,1.3959733,4.798134,0.51369613,1.1901029,1.872046,0.0,5.3278904,3.2354548,0.0,0.0,1.2480342,10.15054,0.0,0.5227875,0.0,4.846153846153846,64.86667576811404,0.3320689844258795,1.2685643206351127,203.05927602577,2.695817938700886,0.8987054141633981,0.0560615027582909,0.0502715687975019,0.3841797215232875,0.3272773678966045,0.7285862045548224,0.7522883732538639,0.819971870604782,0.72371646224637,0.1434140789919231,0.7398476112374794,3.140075288662588,0.3788637339255061,0.928631990318136,0.3880977986993355,0.747410084437963
29,0.0,3.0998409,1.7014914,0.25179422,3.4518783,13.008991,0.0,0.6429688,5.0172853,0.10668576,0.0,6.3502784,11.674889,2.4514837,5.5749826,1.6893785,2.484479,0.25412703,0.7101841,4.3723984,1.5319908,2.1882513,0.0,1.1145856,6.602934,0.0,0.0,1.9987642,8.5625,95.78208371381666,0.442998257894539,3.5508744951190696,194.78818257507456,6.986272550810004,0.9027518162589304,-0.1432515739442406,0.0547068237711487,0.2675411045439815,0.2400183635986518,0.6945448419850355,0.698518958748135,0.7312614259597806,0.6335574311783074,-0.1500466762194451,0.5235842338711095,2.3747213486225345,0.4749192441195202,0.9310386607413048,1.2447280280770667,0.6436429634786869
30,0.0,1.3509555,0.46336198,0.41049254,3.0776265,15.313105,0.0,0.0,3.4267845,3.8012047,0.0,0.92082024,10.500892,0.47137606,2.973242,0.0,0.0,0.0,4.6447897,3.0988455,0.0,0.44041967,1.3964154,0.0,6.243657,0.0,0.0,0.0,4.5,27.72772954138808,0.3734591093037874,3.745082965509497,41.39434026593931,4.012098506590593,0.8101014382571619,0.0021331838421709,0.2411947027331642,0.3116247088459211,0.2803337271677324,0.6323476253374486,0.6427070464266964,0.8285714285714286,0.3954918948724496,-0.0147706170931289,0.5032667149905156,2.367142857142857,0.360438771095725,0.8972237193730002,1.7156954789292518,0.4248107317810228
31,3.330579,4.260867,3.670974,8.384155,3.4063752,21.159304,2.5295544,5.097179,12.892081,5.4047146,2.4856222,3.6757083,15.63643,6.6788087,7.9984665,1.424108,6.590252,3.1589036,7.8316956,10.349898,0.86961603,3.047277,0.041471124,1.6722424,12.5449,2.4534016,0.0,0.0,14.855421686746988,118.52262702831668,0.4749165214271345,13.906149895565848,430.5169965888191,22.17994184910904,0.9287449346224096,2.1199761978091343,0.5158800618109101,0.3358232374633999,0.266305395579433,0.6692704129019866,0.7088209754073305,0.8912280701754386,0.5922270494861337,0.3621524656178312,0.536135784751809,1.931843644198215,0.4939027996350806,0.90245520112539,0.811646364604087,0.558492880461215
33,0.0,6.838686,0.35696733,3.5121937,3.4568808,17.778328,0.0,0.0,6.596619,0.0,0.0,2.6041012,10.0396805,0.0,1.2722139,0.0,0.0,0.65984833,2.7344606,7.1742544,4.903488,3.3293567,0.05646622,0.0,5.0285296,0.0,0.06146851,4.230363,11.04255319148936,162.77695618188986,0.4477602875087222,3.614309257752572,75.77864782514494,3.4715755688767858,0.8366497215920079,0.0484649770505945,0.0662789101354406,0.3194854921279846,0.1950665523238306,0.6419848101293193,0.6420676929269409,0.6229116945107399,0.500883702809127,0.1651295328042627,0.4903661250651207,2.676716354999117,0.5039899220396937,0.9476679847539816,1.935115689500085,0.5841192932243828
35,0.0,0.5651332,0.0,0.0,2.1321297,10.471463,9.1046095e-05,0.70866907,2.6174157,0.0,0.0,1.500031,10.125687,0.0,1.5810454,0.0,0.53081286,0.0,0.0,3.775754,2.2742627,0.0,0.0,0.0,7.538748,0.0,0.88091755,0.0,8.52,51.098996518897415,0.4285348206632125,14.385345096642888,217.0545357548725,8.348193408491579,0.8972917781594654,0.0571080735173835,0.1385655399410142,0.457933366437934,0.3109989408226687,0.7651283329093437,0.7684688196390509,0.7587719298245614,0.5398540449872468,0.2906797123320662,0.5888825621639812,2.6440443213296394,0.2256873432883449,0.9299380734924536,1.9599696174511845,0.4514429489277932
36,0.0,3.3445256,0.0,2.2411737,1.2508991,20.732092,1.511324,3.3861322,4.1669664,1.7271997,0.0,0.7707343,17.551872,0.0,0.9538431,0.0,0.0,0.0,4.0491266,8.2646055,6.2764893,0.8346882,0.0,0.0,6.9463167,0.0,2.642994,0.0,7.95,105.19515849478532,0.4571767835163501,12.083110563095802,134.54826158958346,11.126982737536954,0.8357331694955881,1.6550369552652533,0.5914771162940562,0.4712393854333695,0.2327425132282469,0.7321543791432447,0.6910894115728177,0.7872340425531915,0.4665476366727629,0.5131690021284575,0.5238815942773339,2.042220600327048,0.3043687769977397,0.9407604281816652,2.8717829492168043,0.4200348552592949
38,0.0,2.3771389,1.8723176,2.5989146,2.1551158,15.424007,0.0,1.0419319,9.248888,1.0609475,0.43844438,0.0,8.188313,0.22149575,2.337549,0.0,2.4019823,0.26043463,0.44681108,0.0,0.62277424,0.0,0.0,0.0,3.3669586,0.0,0.0,13.572448,13.0,69.83749679399735,0.4098048637831163,0.2808080973515571,5.982209765462971,0.2651728679953311,0.7664689256554922,0.0753834862601226,0.0122512378854946,0.1796701811125108,0.1708266561465942,0.5173761123640388,0.4373637767104369,0.5575447570332481,0.4437977920538308,-0.185127884402325,0.3845122368437139,2.5315506832111248,0.3418866574082375,0.9013518169298292,0.7709145053471386,0.4180313296971595
39,0.0,0.1259358,1.3133641,0.04433763,0.51784563,17.153008,0.0,0.0,5.471514,2.1267276,0.0,1.1801128,9.7895975,1.5844716,0.70448136,0.0,0.0,0.0,2.2483428,0.626577,0.020153284,1.00987,1.349078,0.0,4.076852,0.0,0.0,1.4202594,7.8,51.22168978103743,0.3908708240203419,0.5177934129479983,10.70643609554478,1.0305254649374065,0.7020250567369198,-0.0830004298995075,0.0189398209735969,0.2085249875626353,0.2085249875626348,0.506180152566925,0.5223454030786419,0.6956521739130435,0.4507080133740984,-0.9400131524089328,0.4050806475445953,1.9084751102709516,0.1496038256330777,0.8904490741797667,0.9578003047387428,0.3792220864157353
40,0.0,1.9670277,0.0,0.32802892,3.8987372,15.106822,0.0,3.1874337,4.0174065,0.9683517,0.019667625,4.7074933,12.953939,3.3902535,3.7962387,0.0,0.0,0.0,1.6703048,4.4525585,1.6808002,0.0,0.0,0.45187443,8.462328,0.0,1.4698391,0.0,8.517241379310345,59.43915664093292,0.4181948313640041,12.580852194504956,230.71729232509296,16.39663297125868,0.908594208159953,0.4530433209214213,0.2104921262845088,0.3426170740643647,0.2955760314935854,0.7049617707389259,0.6846534066971411,0.8079470198675497,0.5867092804445884,0.946298558572662,0.6140870149241623,3.002675321257839,0.471582597974132,0.933395813806566,2.046019679237136,0.4645813302623042
41,0.0,1.4696152,0.0,0.0,2.1957753,13.075292,0.0,1.711455,0.8168964,0.0,0.0,1.1304111,9.70658,4.4335485,0.58694434,1.5234601,0.0,0.0,2.5016186,3.3875542,1.5884657,0.6195636,0.020072222,0.0,6.3371086,0.0,0.0,0.0,2.8,61.36095660231734,0.4799223244912021,1.1287986122928255,46.35233956582528,1.4753996905621458,0.870438557459867,-0.0733488376189675,0.0912817728078731,0.2082366371495977,0.0578723238317077,0.568815999318232,0.6299262465110703,0.6425992779783394,0.3388920020856626,-0.0150405962064496,0.4900159471999944,1.638624248980177,0.4511520407834316,0.9224402681839778,1.0614319658501306,0.7057469895172657
42,0.0,0.93700576,0.05041933,0.0,1.4012244,14.033537,0.0,0.0,2.630145,0.6333138,0.0,0.0,8.571525,4.7356625,1.9944925,0.0,6.5217943,0.0,0.0,4.546706,0.18498313,0.0,0.0,0.0,3.8180017,0.0,0.60271496,0.2361939,8.285714285714286,35.960342318572515,0.4037368217648923,0.5787004603053241,14.104356048883728,0.5867828005811921,0.7208430869785931,0.1150018171196729,0.0246366822601223,0.1727518788014216,0.1698505248362379,0.6207163884279305,0.7203349241202718,0.678391959798995,0.6044144458933417,0.1901752109328079,0.6541938677541457,2.4177672281003004,0.2422419518986778,0.8758266005843753,0.9620097472739556,0.4508612024890088
43,0.0,0.0,0.6195295,3.5244708,6.7299986,17.680916,0.0,0.819281,4.55184,1.4697763,3.8087013,0.24395466,8.533841,7.7123866,0.65985703,0.0,5.424043,2.8176928,2.964681,0.0,1.1839228,0.0,4.369285,0.0,2.4889135,0.0,2.5831838,0.0,7.461538461538462,28.944978625821008,0.3734773056970003,0.2336958126293533,12.048532706515362,0.553910757473905,0.8470144304873094,0.1254140959947031,0.03193005796826,0.2488926898778992,0.2371441393743895,0.5715019844214851,0.5645937862463015,0.6766467065868264,0.5432173855470266,-0.1056403923900528,0.5227214225680317,2.489727132561225,0.3369943608499235,0.8898267010105825,0.1690650756796071,0.4767771494335994
44,0.0,9.549897,4.055418,9.907376,7.0145597,21.441212,1.9049497,9.581366,13.966513,4.2320924,6.382904,4.3144355,15.692124,5.4847403,4.4075413,0.0,0.3447131,1.4008806,6.4995365,5.746336,1.9514823,0.0,1.0527471,0.6531568,7.9314823,0.0,0.0,0.0,12.841269841269842,113.42404663370108,0.4772438674212835,11.081183453230674,667.2404489231858,13.255087940770055,0.9210100504556228,0.8838761060799105,0.3393735749429977,0.4002273903509526,0.3324876357888437,0.6785758541067477,0.7155635786657306,0.835,0.6207108967756685,0.2803546324617341,0.627254825041924,2.6075,0.4811736552420007,0.923636122523032,0.8648870623120594,0.6626802199102084
46,0.0,1.3346288,0.1519134,1.2074164,1.4981296,14.9936,0.0,2.1921582,0.6681648,0.0005748272,0.0,0.0,13.930267,3.2302394,0.32522988,0.0,0.123224854,0.0,0.36064768,2.4480944,3.016781,0.8030391,0.0,0.0,5.0610633,0.0,0.34584358,0.0,6.285714285714286,68.60648890952484,0.4211426533712795,2.235472066540988,85.39920043130729,10.834308687094556,0.8309734343124662,-0.2755182395410503,0.2509783530972699,0.5307075940050053,0.1789334156225863,0.6980585848961566,0.753942780201162,0.5400593471810089,0.4934651709492241,-0.3882652326377647,0.4697498548874866,2.458804779473272,0.425081881592013,0.9485747571820158,3.127323866585177,0.6106478837294977
47,0.0,7.1348724,2.6800623,7.0818887,8.646174,32.393444,1.3604195,2.476472,5.7110133,5.242438,1.376092,5.5727615,9.962891,3.4406424,1.4197085,0.0,0.24634913,2.7044668,1.5006213,23.785213,10.001829,6.8928595,3.413268,0.4109741,6.567092,0.0,3.7911484,6.649205,6.769230769230769,78.68084667960973,0.4414272578165538,2.0020545886861827,28.665700687779843,4.404841121434258,0.7997582618051429,-0.019722675945959,0.2066827510989192,0.4172696897644417,0.1470648106773291,0.568916711069543,0.6074969560194622,0.6430379746835443,0.4180571444807728,0.0577403350323848,0.3794270503856574,2.247242429097901,0.2977774871485813,0.9195157526113256,0.887989087958777,0.6083608432721266
48,0.0,0.4717462,0.0,0.0,0.9473778,8.21021,0.0,0.0,1.5937314,0.0,0.0,0.0,9.512114,2.5340014,3.1037958,0.0,0.0,0.0,0.0,0.0,0.30615914,0.10479236,0.0,0.0,6.5977173,0.0,0.0,0.0,5.307692307692308,47.8138593337743,0.3989405986229942,2.016875335275412,25.71709075286749,4.419933431378113,0.7751805490430947,0.3366906599765185,0.0755077039547118,0.3077004287040244,0.2506308055343622,0.5085655712477003,0.6539800781079979,0.6970954356846473,0.4011969738493336,0.541110193662221,0.4964766494202753,2.25460994128889,0.354869758253809,0.9085200856094888,0.9865753653965708,0.4463369379088027
50,0.0,2.7424572,0.0,0.0,1.7245073,10.133197,0.0,2.317706,8.613755,0.07846928,0.0,0.0,12.177334,3.300911,0.20265293,0.0,1.7099537,0.0,0.37203705,6.1574173,0.0,2.025149,0.0,1.0901592,11.036758,0.0,1.0845281,0.0,6.823529411764706,77.68081250286387,0.4496401726393251,12.535990213578389,138.74341730574224,4.725039683607307,0.9053299474808844,0.1124303586516188,0.2659751067958298,0.4316527873649029,0.1859238875759707,0.7154642039109018,0.6471691152733905,0.7743055555555556,0.4477166587995073,-0.2327335628292545,0.5116080144980418,2.416232638888889,0.3038251419667815,0.9228937857908288,1.6651715785899917,0.5799017899341762
52,0.24239087,0.3153851,0.0,2.3287125,1.7957141,16.168306,0.0,1.505515,4.257448,0.0,0.0,0.32496905,7.288908,0.7180003,4.3911343,0.0,0.0,0.0,0.9816427,5.4547477,0.5481161,1.452024,1.1684188,0.0,5.6702256,0.0,0.0,0.0,12.304347826086955,102.0921884519669,0.4234463497986567,0.8986453625458144,19.067417318130747,1.1837347566842438,0.7927446807190778,0.0343824239600895,0.0426005616301588,0.2382660816438978,0.1641881124405836,0.6620094192210562,0.5805750228881194,0.5737951807228916,0.4375735922735618,0.1472049685218107,0.5242128305109794,2.445383945420235,0.4328085847597728,0.935346672032786,1.443168847162347,0.540524329023751
53,0.5605576,7.311537,3.824731,8.46175,8.67591,25.091795,2.7208614,10.749586,9.183113,1.5262948,1.0126722,2.3367958,15.060458,4.9804225,4.156597,4.4162393,9.627572,2.7029693,2.7666028,7.5283422,12.832544,4.2331715,2.2897782,0.5248329,6.5476246,2.7131875,1.4763404,0.0,10.06122448979592,87.0104483770607,0.4773685096139524,15.236837459011856,382.6604229399709,9.15755557099122,0.9145783387886935,1.2401308590984417,0.3990463336547531,0.4151601453104401,0.3005457093791667,0.7389922521466563,0.6417411205758292,0.7844311377245509,0.6525001351453442,0.4212860692098675,0.5456996784132373,2.7902040230915413,0.5519592775741028,0.9344026682699016,1.7708770880332954,0.6175246378262126
54,0.0,0.0,0.0,0.16582692,3.6957047,8.81552,0.0,1.9776443,2.908554,0.0,0.0,0.9647515,5.769601,0.55948293,0.0,0.0,3.8600478,0.68972623,1.9148183,0.0,1.7419071,0.0,0.34758055,0.0,5.063712,0.35561335,0.0,0.0,6.125,84.08157962711294,0.434415379256957,0.9685358764429546,73.34166737319602,1.1201966697408776,0.8698375557466306,-0.0626181126280365,0.0542865166534527,0.3500321690835036,0.1362797162572938,0.6288600535740007,0.6790218133164554,0.6882352941176471,0.5721511152762049,-0.3560171506663762,0.5981860185357004,2.196063052672049,0.2574454350269872,0.9338092054670242,1.620047819592565,0.6581350189064678
56,0.0,5.667203,0.033804655,2.3726044,0.536631,11.654867,0.0,1.3147603,5.385508,0.0,0.0,0.94148254,13.224093,0.0,0.0,0.0,3.6185908,0.0,1.5702133,3.1557865,3.9457433,2.0437033,0.0,0.0,9.484511,0.0,0.3897648,0.0,14.068493150684931,134.3971052595458,0.4409920604373724,5.772445255989115,90.968305364465,5.335995124763863,0.8340136722051906,-0.7775431511099417,0.2272883813580448,0.4259594858262905,0.1856894465183147,0.6769753450533864,0.6946047576225088,0.7755905511811023,0.5060210066316462,-0.4229442642447938,0.4407456245290664,2.868776737553475,0.4637388319319757,0.91728053977184,1.3609312209055828,0.6250865272676548
57,0.0,0.4489535,1.1333491,3.516533,7.9660006,22.413897,3.191176,5.786987,9.940943,0.0,0.0,1.1035101,14.507909,5.1289334,3.4024312,2.5930321,1.4333571,1.6887178,2.417375,4.788484,7.9407787,0.8809049,0.48946202,0.33230728,6.9967165,0.0,1.3587389,0.0,3.933333333333333,52.88723984236546,0.4585814556882518,16.516650140074894,586.461793222364,18.42043559442232,0.9339692297023268,-0.0998436797202544,0.1094906440369374,0.3066295613127024,0.2531325136260004,0.7600208765541782,0.7820641767576828,0.6052631578947368,0.6720157668455461,-0.2722123355761021,0.686860961471979,2.208547685001978,0.1951676100159865,0.9555789097020684,2.885892093611665,0.7881593309894994
58,0.0,1.9797115,0.0,3.4563737,3.7425554,13.189736,0.0,0.34193456,4.8010883,1.4622573,4.047387,2.8789043,14.065997,0.11895895,5.0096292,4.145883,3.647028,0.0,0.0,8.661624,5.3854465,0.0,0.0,1.3675709,13.582956,0.0,1.7206376,0.0,12.807692307692308,119.60923915244592,0.4725422192440088,10.580226273493924,282.4293453093305,10.204039919170649,0.8906224542001799,0.3553198173040727,0.3096753541227626,0.3719072135663732,0.2886691369207661,0.7384440803400647,0.7206025121265134,0.7904761904761904,0.5922412767915265,0.2615823368362193,0.5799901373895122,2.609637188208617,0.4067794042636737,0.9428525953824224,1.437364673475694,0.5228970958526146
59,0.0,6.42575,0.0,2.947537,2.3786585,11.867143,0.0,2.6157413,2.103515,0.7197343,0.6084366,1.6830747,16.520197,3.1262436,0.0,0.0,0.0,1.2112434,0.6178987,2.2549653,3.5767686,0.3910457,0.0,0.0,2.5246406,0.0,0.0,0.0,7.846153846153846,76.96807983890074,0.4175880324979062,4.280974424638836,69.18098037890152,5.05212224848559,0.8777743499356421,0.0387316935158706,0.2193771224008813,0.4671445933244595,0.2068346113751062,0.7446686535950406,0.689687303029032,0.551980198019802,0.4554623692160245,-0.6811170138270076,0.4377597999161821,2.5020586217037546,0.2558821059468041,0.9580573526805533,2.9683164000805395,0.455668525965835
60,0.40287948,0.0,4.846672,2.9716425,4.673847,14.912174,0.0,0.5832145,5.802341,1.6511003,0.61354136,0.0,5.3127537,1.5437256,3.433872,0.0,0.61214983,0.07886827,3.6304786,1.0958773,0.5357728,0.0,4.820249,0.48990148,4.8737574,0.23282886,0.0,1.1119622,3.571428571428572,63.399225316294746,0.4162276418185301,0.1907906080464625,27.95857958199392,1.264286832325624,0.8607375212408701,-7.081022052328467e-05,0.0112014935324709,0.167516195445503,0.167516195445503,0.525685515358343,0.689015419883853,0.4826789838337182,0.5021807748413355,-0.0106817125930104,0.5367173573110489,2.250468027457611,0.0390291889621505,0.9369233895331548,1.7836990650850495,0.6314870622416429
61,0.0,6.5083447,0.606174,3.0316792,2.3284068,13.781941,0.0,5.1043315,6.3034954,1.1646444,6.1657934,6.6074414,22.436598,1.5044415,9.582322,4.1194544,7.285272,0.84778666,6.9138565,6.0446334,6.326439,2.5233622,0.23817563,1.4163814,9.114051,0.0,0.6391228,1.4920632,12.704918032786884,148.57202904548384,0.4852465270120303,11.566444516181338,311.22444905047973,6.616988116485885,0.902900326154776,0.3833619043900377,0.222477563758074,0.3198103532276146,0.2500316054575276,0.6750726441468755,0.6383874812893141,0.7030201342281879,0.543502916166697,0.2112875233435987,0.5157049037645265,2.4767014999324357,0.450742591140698,0.9437942561982045,1.4964333563754542,0.6102138856839361
