Paziente,234,23,101,450,479,331,46,165,128,77,416,50,510,86,60,305,105,206,439,400,102,94,wavelet-HL_firstorder_Mean,wavelet-HH_firstorder_Kurtosis,wavelet-LH_firstorder_Mean,original_shape2D_MinorAxisLength,wavelet-HH_glszm_GrayLevelNonUniformity,wavelet-HL_firstorder_Median,wavelet-LL_glszm_LargeAreaLowGrayLevelEmphasis,wavelet-LL_glszm_GrayLevelNonUniformity
58,12.966763,24.504461,19.831491,88.35718,94.28549,49.440144,62.805,0.0,49.91017,59.358894,130.83253,0.0,42.903805,37.489273,24.482832,84.55502,0.0,56.41077,94.26713,155.03079,54.75658,74.733185,-4.295893900753683,4.458620014184042,-0.1801397537992486,26.32778284883241,12.807692307692308,4.787450099041063,0.0228242275667454,5.22289156626506
59,0.0,5.511253,1.5068107,37.211983,75.056694,3.29219,32.271084,0.0,4.2374854,0.9104626,31.365784,0.0,25.958052,70.20478,3.0824494,118.27604,21.69889,4.1745152,28.567999,111.43745,0.0,14.795501,0.0315222217841524,15.349837009579058,3.827537895647092,27.33781520082212,7.846153846153846,0.4738505182751522,0.131855493248035,10.327354260089686
60,14.320806,1.087112,0.0,6.654645,27.674284,0.0,0.0,0.0,20.88602,1.3985718,4.7351866,0.0,15.647458,17.47153,22.368395,18.583593,17.229954,0.0,21.593422,9.818656,17.913363,11.898649,1.5206213420098138,5.559223343696893,0.2954390162843596,24.15575272007166,3.571428571428572,3.005488998238457,0.2764704551634354,10.311004784688995
61,55.729763,93.40646,0.0,44.545868,86.89006,62.931587,86.82047,0.0,80.11091,8.156757,104.600365,6.260602,24.602142,203.93225,243.64633,199.64857,0.0,54.116608,140.86627,37.180733,11.668683,68.68389,-1.8012415833197484,5.650206814293142,-3.869682292541437,22.084368284111694,12.704918032786884,1.554718258350791,0.0409754942021532,7.014319809069212
62,0.0,9.932068,0.0,80.963356,28.031673,48.536037,35.113476,5.207429,10.291981,10.322718,22.215773,0.0,58.534782,15.007386,141.0975,150.63553,2.597315,41.430183,68.9183,13.696921,2.9022498,30.107555,-1.9216751370959209,5.621882230486417,-0.2816888924498016,20.54018765564773,9.666666666666666,1.6600213555086991,0.0620627080394426,5.360424028268551
64,24.770487,34.05125,12.584446,16.415688,16.376,14.378676,16.355234,0.0,0.0,7.546379,2.9681706,8.634245,25.117756,9.164753,101.249855,46.700623,18.639683,14.007648,58.87811,84.036995,0.0,12.513801,4.435822034958769,9.813772697902229,2.112082880821132,28.054087751288964,8.578947368421053,1.318436270876954,1.0786783290886113,11.270042194092827
65,10.387162,0.0,0.0,55.570526,24.665167,0.0,32.360153,2.0283039,13.498432,35.48272,27.65997,29.50996,19.51499,17.899448,0.124053046,79.37592,20.703598,11.396983,19.401512,40.113537,0.0,48.75579,3.8730583034013417,7.293528924893874,2.567476510492617,19.92604761346527,6.2727272727272725,3.4493155081222904,0.1139941631912467,5.835443037974684
68,0.0,17.395485,0.0,201.87178,129.42776,36.35558,69.35195,0.0,0.0,60.70863,52.098385,0.0,50.89003,113.57566,0.0,279.4104,0.0,79.76168,202.81981,172.29468,0.0,190.25352,-0.9488592277809528,4.032204291556923,-3.824149646843326,22.84739356020158,14.03896103896104,10.12101492415754,0.0131170567668002,5.005882352941176
69,5.835706,10.97103,16.602676,21.235197,59.140465,20.759068,90.28736,19.46472,1.1508176,12.958591,77.04591,0.9107325,22.959545,2.6458468,12.479536,19.571241,27.394337,37.106506,32.651485,46.27199,14.251508,38.91549,2.667562135230728,8.581876359493526,2.34527528651614,23.667983729490874,3.8,1.5701822595005872,4.020775021960518,9.781065088757396
70,0.0,0.0,1.6433454,23.46739,38.321087,5.8038726,35.864117,0.0,2.7628317,42.226902,45.433723,18.487398,17.55536,70.16612,0.0,135.8784,28.787645,3.341961,24.291006,8.004151,10.171229,19.628613,-3.903604435065368,9.502809621194958,0.2414902512047345,21.2604409735638,4.733333333333333,3.1716148305706207,0.0702961589778802,4.783251231527093
71,16.91709,20.201305,2.629932,107.62245,89.26752,103.019684,41.809383,0.0,13.64485,0.0,32.978764,38.52181,18.230116,68.66779,3.8161137,89.630615,20.995653,54.334267,99.83572,98.8317,16.228428,106.00922,0.2886043337614049,14.266308732584584,1.9855723676305583,25.42915225584884,8.68421052631579,2.303839092249196,0.0602436919927226,11.538152610441768
74,4.1609707,5.427085,0.0,17.291388,21.353884,0.20517883,71.289856,0.0,32.137875,13.241485,9.591746,0.0,30.696846,22.134533,52.06334,61.75861,11.34979,11.183212,111.39374,115.757286,0.0,60.586254,1.3783020613430943,3.987333895142513,0.6620702960597076,19.61248419419422,6.25,8.77906428767809,0.0799240917190542,7.072992700729927
75,2.294053,0.0,0.0,0.39367935,44.16255,0.0,21.364454,0.0,5.157871,6.65862,1.6230787,0.0,31.446907,24.20583,16.406324,17.609709,9.070686,3.645605,19.65598,14.119308,0.22849064,4.3901467,0.3401003071675919,9.13746863096879,0.1664129258519479,23.39920192134182,3.25,1.5984585202246675,1.195280576407201,11.427906976744186
76,9.204253,7.740186,0.0,19.993353,15.607619,15.731479,8.512499,0.0,13.372975,11.45251,60.050423,0.0,29.008888,17.456287,6.383667,40.044216,15.520548,5.9522223,40.809345,14.296381,0.0,20.007095,-1.3457768948492894,6.289379475631414,-1.1394748262754286,19.016225008102627,7.705882352941177,0.08141480643226,0.143319882164411,5.994535519125683
78,24.442886,0.0,0.0,22.825306,31.781235,7.9541316,8.254222,0.0,0.0,7.995283,28.31557,0.0,28.050325,23.153172,32.834694,49.076332,53.684135,0.0,55.250057,30.379202,0.0,38.715954,2.4099263348359155,5.018186179689827,2.942954543187262,26.74387250185605,5.909090909090909,4.401287069968106,0.0857138798464299,9.23463687150838
79,0.0,8.482299,0.0,50.214344,70.74972,10.207943,46.375835,0.0,4.200197,4.125555,87.55298,17.198872,16.466085,12.314868,37.04367,163.63681,34.04095,36.427525,14.671117,17.182053,9.378851,32.433247,-1.2600969746657356,4.904012369054014,-1.852780608130192,32.49882955664479,4.666666666666667,2.755197758888825,0.0657547944430499,8.69304556354916
81,28.620644,6.8087244,9.261724,106.15891,112.89633,58.885757,57.889908,0.0,27.14327,32.55805,95.34401,0.23654999,135.98141,84.31046,64.24973,408.88583,4.8370385,136.33353,153.85509,85.66608,0.0,47.395844,-0.5573830556201089,4.778030358897395,-0.1169176972272072,22.37190147111896,9.48,3.830336706307885,0.0153856358546261,5.994708994708994
82,20.99481,0.0,0.0,15.329786,24.356777,37.84793,28.41824,0.0,6.515605,6.859888,35.239056,0.0,45.64956,28.109749,20.126947,64.15347,29.290886,0.0,41.679096,30.512554,0.0,16.379728,3.272000594224222,3.376418969954965,3.6653199959639946,16.79133795040491,9.285714285714286,3.0633628219434565,0.292649973681599,7.280701754385965
84,3.5616546,32.349148,31.642265,92.07958,55.73826,47.453865,60.115158,0.0,2.1545653,69.93549,17.299007,36.423855,55.34953,48.134125,46.370228,65.35696,22.47271,56.294697,87.845245,51.62931,13.099196,99.483604,-0.052179759719231,12.404701709178612,-0.5776694070051243,29.004855113815275,3.888888888888889,1.7329319408922692,1.166747837741099,12.512
85,0.55714417,0.0,0.0,104.69952,47.46072,35.147404,32.89944,0.0,41.89899,11.177891,17.23047,0.8933041,27.560095,82.57059,43.91513,177.06781,32.807777,19.39724,67.79809,13.750972,0.0,17.82027,-0.8377372414478556,5.755390575041392,-1.7285477149257664,18.17693209104224,6.0285714285714285,3.272121163304509,0.0375036519779942,5.888888888888889
86,16.287907,2.738068,0.0,3.418099,3.2013788,0.0,21.764687,0.0,2.7488148,0.593137,19.45789,0.0,17.891392,16.789726,11.748021,17.975193,40.0105,0.0,23.715012,21.809353,0.0,2.7008414,8.465234702905589,5.960806147263467,3.4083970590689256,16.929940630752476,6.636363636363637,4.348353107531921,0.1922882681402171,5.729411764705882
87,12.862299,8.234912,3.5437064,27.709026,19.445356,6.9098287,25.835611,0.0,5.9440894,6.454054,22.081661,4.2942643,37.426807,16.390923,4.582322,56.404858,19.93584,10.838341,25.727592,62.68577,0.0,81.89094,1.3684241863615365,5.5684765566045735,4.508654725550695,18.68764964943017,9.0,1.1782556485671538,3.6864171888436648,6.658536585365853
88,0.0,18.835354,0.0,85.14099,123.72165,106.70144,78.323715,55.71209,0.0,41.316944,83.34381,0.0,158.38786,61.324345,0.0,70.39939,0.0,0.0,77.25056,62.07312,37.110294,50.94302,-4.435776779404274,3.601195492457646,-3.7797175580740814,24.728939615075507,13.825396825396826,5.537573413739187,0.0145818051183888,4.701421800947867
89,13.584545,0.0,0.0,64.11175,39.07505,14.318549,42.93058,0.0,0.0,25.053976,46.601192,20.236464,37.62433,46.060314,0.0,23.312939,0.0,0.0,0.0,1.1234622,0.0,17.136654,-5.088775125359212,5.076201771685271,0.5216988667591086,25.29878367180112,5.571428571428571,2.68554863404364,0.0487946594180092,6.745928338762215
90,0.0,15.475253,0.0,17.528084,147.96562,10.358772,58.191788,0.0,11.859461,59.071724,59.751606,1.4218049,44.695183,82.61639,154.04324,123.00944,4.6382265,54.150944,24.78276,47.24952,0.0,16.556196,-0.9520586644019564,7.091101496550526,-1.0629646429516926,35.37992952627241,6.809523809523809,2.9448788474933183,0.2154220821764506,15.369602763385148
91,20.421482,9.927708,0.0,62.608997,69.02861,21.298656,62.86776,0.0,42.11964,45.465366,121.48074,15.320097,80.36918,109.52271,26.00502,133.52461,8.457156,106.35598,56.4316,36.479633,0.0,40.92635,-6.257606500213878,3.98889740265578,-0.6431509512467405,30.077872971232296,7.5,3.190757258763428,0.0194199085877483,5.292079207920792
92,15.13013,13.038245,0.0,43.125954,69.93555,20.000023,37.132233,25.593306,0.0,0.0,25.699448,7.954934,42.895096,55.033737,22.38919,77.77081,16.338667,34.30054,35.760044,205.09639,0.0,40.85344,0.4536020798625221,5.113957159359921,-1.370859494217418,21.863977267391324,7.615384615384615,4.748269390551778,0.0721309155757343,7.5
94,2.4529307,11.594833,0.0,10.398248,9.942987,9.623042,8.576558,1.5253485,0.0,3.5469234,14.015239,0.0,13.896906,12.353436,39.01117,2.9147768,12.307449,0.0,13.148045,15.585184,0.0,10.442717,1.8613829139644449,7.634858388540242,-0.5147037912071954,16.18091599567028,3.5454545454545454,2.766901129713439,0.1364703626019786,6.530120481927711
95,9.749032,9.455571,0.0,89.96691,53.116966,0.0,44.250546,21.065247,21.603113,17.93004,27.788694,19.064167,44.01677,48.773014,20.182266,134.38615,43.757572,75.2988,46.844044,13.392831,2.1259563,76.648315,2.433031379737608,8.913298480255346,3.5366615525108647,18.156894729848407,11.516129032258064,2.193790303480356,1.293312261862552,11.336134453781511
96,0.0,11.8206,0.0,34.907433,22.761686,6.374836,13.870271,0.0,6.8022094,6.381463,12.45218,9.062218,26.949715,0.0,87.60953,31.928944,0.0,3.1795568,60.359394,63.054596,0.0,13.165936,1.4915446721219765,6.492585752941619,6.633306751799955,17.65253722283798,3.4,0.9954542376691428,0.1019524005339749,6.935483870967742
98,19.291922,7.561103,3.3473592,28.361046,10.065476,19.23241,25.011055,0.0,13.058019,15.657556,14.198784,0.0,26.815975,18.858507,8.27941,38.43475,45.774254,1.0318539,68.93052,22.004404,0.0,41.539032,4.07407917632521,11.897808270886324,3.356955520455626,31.27148923402163,8.125,1.9343864006714464,0.6801216352199512,12.98051948051948
100,0.0,0.0,0.0,135.8591,154.77382,54.062634,101.86496,36.48295,0.0,85.696,78.690834,0.0,104.3863,71.228165,273.2713,246.88805,0.0,51.19721,161.72354,313.9329,11.852255,138.58727,1.752098314676532,3.76304602527829,-7.9685692629145795,22.48652728613996,16.28767123287671,5.891076755708467,0.044666228182761,4.251908396946565
101,1.2145686,0.0,6.766038,62.18519,41.328472,38.611034,28.435015,3.8832846,11.162668,23.51688,28.887785,0.0,42.497044,10.911035,0.0,39.18754,39.735043,28.617815,44.533054,45.761917,12.2936735,53.658493,0.1171627632028251,8.548498610390139,-2.082363464083082,24.07753008587886,6.166666666666667,1.1869889691249689,0.6630286524839245,7.229166666666667
102,2.3999872,73.66651,0.0,154.75719,51.038586,73.28368,84.2288,38.226242,1.4902291,43.970383,87.956276,0.0,57.97832,173.99983,47.43293,214.58989,4.5642967,85.79601,103.66776,82.35148,15.561154,78.12304,-1.1014098319463683,3.651231756865257,0.4932378470724906,32.144222983194524,14.291666666666666,6.139561454715731,0.0197015535794567,9.606741573033707
103,7.9796834,17.15772,0.0,46.51295,42.548107,0.0,57.629955,6.4860773,0.0,64.245575,6.838141,2.313308,55.894398,13.440661,114.46438,195.87193,57.105972,70.892075,82.21833,228.77934,43.579678,168.71404,5.34880894530101,5.316673459975197,5.360934352412917,26.574748946565723,7.133333333333334,6.544397706484574,0.0847643024364779,8.518518518518519
104,0.0,45.296432,0.0,105.867966,65.14077,107.03419,122.31487,20.199451,0.0,0.0,49.790745,73.620125,87.95648,53.52787,124.87769,240.57874,26.941032,54.35908,213.6003,242.9798,0.0,248.77684,-0.70620803953267,3.937471515272612,0.0400537817171561,29.287304717052194,4.647058823529412,10.682523620758236,0.0106883173193269,6.859030837004405
105,15.558325,0.0,11.288803,142.04385,88.28985,48.51818,66.50742,29.84857,76.257545,62.624493,55.250412,17.494488,34.405205,105.144264,56.812637,127.88571,0.0,0.0,47.33036,268.75058,0.0,79.1958,1.230887818707688,4.327667777044431,3.988910302843766,23.53119590087383,14.486486486486486,5.284047843741716,0.0348738651041646,5.923588039867109
106,5.597555,0.0,3.9314492,2.279788,11.309962,0.8733278,7.7299147,0.0,7.558355,0.11294913,11.882414,0.0,10.470933,11.611577,13.783171,0.0,27.54613,2.5001416,26.237204,12.081111,1.1035696,7.832947,1.2395378399256676,3.139335375160762,2.0864274719839018,20.05519179942101,6.0,2.1494124592411854,0.2137604939314634,13.288372093023256
107,0.0,129.2664,0.0,69.06016,11.905225,106.46132,180.40225,3.1035054,0.5402665,29.184761,111.070435,0.0,41.741127,35.079533,347.47287,104.96332,34.20464,33.22003,156.87715,99.25958,166.84814,218.12762,-1.805993523278829,3.4351975725598165,-1.248735453898134,26.777167811692745,14.26530612244898,4.364616001466692,0.0164833383673391,6.116772823779193
108,5.8258324,16.946358,0.0,11.024027,24.661674,16.631838,14.6886635,0.0,0.7387589,0.0,0.0,0.0,21.135176,13.24595,41.008617,35.238213,28.513992,18.891392,42.271317,14.564764,0.0,72.04823,0.1978865342021579,3.599870568710276,0.0146820857252317,16.22853452085244,8.043478260869565,6.218967861559879,0.0704182259965877,5.889952153110048
109,4.027254,5.5737066,0.0,98.82822,36.335114,43.378555,53.985443,9.827681,27.213953,18.93856,24.899403,40.041668,42.253754,190.13235,223.44131,353.11435,27.212353,56.162247,133.07147,74.02192,0.0,50.22572,-2.324977944085251,3.652013013164789,-6.553723878772945,17.089825767655277,8.772727272727273,8.201020324781089,0.0389137017354905,3.115942028985508
110,0.0,5.5604544,0.0,39.819874,89.40587,8.489725,63.555954,0.0,0.0,21.45255,162.62598,3.2456234,41.202267,121.183945,19.31253,61.540325,73.491615,17.286797,62.04296,24.806814,5.770198,124.8842,1.807946989215321,5.12063027631966,3.616152155410248,32.88365619372865,7.842105263157895,4.544879908974367,0.031293071000762,7.216216216216216
