Paziente,194,20,187,66,178,183,255,2023,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
5,0.3238486,0.60170394,1.2455753,0.0,0.72656065,0.28594124,0.6926712,0.0,3.9291420434318254,2.52368814524742,0.9309192449340354,27.39268689868377
12,0.044884965,0.71332073,0.9806914,0.30274874,0.3015113,0.361454,0.73502755,0.42281035,3.355010730968312,3.6943315237975,0.9403701482594408,34.88607194513267
15,0.15017974,0.5053766,0.8023738,0.3258516,0.19748126,0.39718455,0.69159627,0.20276609,4.234633859425546,4.850872463483972,0.9624239014853684,66.77125996265471
16,0.100047596,0.89904606,1.0342067,0.24718699,0.6015408,0.34812814,0.8431814,0.47329852,4.160480980460169,2.6852815354376225,0.9414332823354294,23.49083411281138
17,0.39624763,0.7052922,0.7894974,0.115131125,0.8655685,0.04181961,0.5890044,0.33543435,1.7450406665344178,1.6546320174568538,0.9341139093525214,23.949137584091645
19,0.21063925,1.2175256,0.7841262,0.14394273,0.6873792,0.16346098,0.55312824,0.3493006,1.3268526701174097,1.3563943946471406,0.9142948346795404,18.31214987411389
22,0.05016105,0.64159286,0.7684146,0.29955953,0.38533336,0.17218608,0.6441027,0.19654435,3.799574861544035,3.511167033658384,0.9359482030316564,65.51070904081634
23,0.07287674,0.8155483,0.99996614,0.0,0.3495921,0.36800212,0.5610064,0.35943767,3.898340848653024,4.128569776852816,0.9388465029337936,52.79015546625002
24,0.49561697,0.0,0.4917484,0.7411785,0.3244599,0.0,0.17711872,0.0,3.24816513212246,3.122113001520576,0.9346577295707232,52.82330854482411
25,0.3684889,0.22309178,0.9543387,0.095414564,0.4891551,0.12385349,0.49545446,0.061560333,1.848939763557891,2.4668324263464063,0.9199390845679392,21.311952572193537
26,0.1905672,0.45165765,0.79185534,0.2215988,0.42955667,0.18275595,0.537403,0.28001806,1.488994646044021,1.2986317668054728,0.8942860422771632,22.99355221984012
27,0.054133758,0.106918685,0.67260057,0.0,0.17053647,0.23054859,0.42222217,0.1451532,2.0394879737933738,2.8599682307955554,0.9344392262567924,52.98544890593295
29,0.08197002,0.7621663,0.79958624,0.3991292,0.5780263,0.21524465,0.61451674,0.4411125,4.044443850285252,3.5973249467763337,0.9315289611293652,39.69125427054971
30,0.1807356,0.71422106,0.95628625,0.33239162,0.40416247,0.29043132,0.62942266,0.5059688,1.9997959183673475,0.9581632653061224,0.911688208065596,17.57034218438529
31,0.5568492,1.0174721,1.1245724,0.22655004,0.83394563,0.078889266,0.62725914,0.3723919,1.5659464450600185,1.4003570329332102,0.9056549928478016,12.25792298086151
33,0.0,0.71278125,0.6159427,0.59833986,0.5338796,0.04377295,0.6505859,0.17712677,4.296364226679047,4.548681085206851,0.9509208003971644,90.6299104713213
35,0.070520505,0.66614336,0.6355915,0.17697674,0.62969935,0.09959951,0.8565104,0.4069793,1.9138965835641737,2.7433056325023086,0.9299312617129912,25.437758966420706
36,0.24715419,0.9176119,1.0993394,0.0,0.45751333,0.3694166,0.5631758,0.23033676,2.6669376668729963,2.297188680814109,0.9459252857301176,37.40094478092042
38,0.0,0.3334905,0.57742995,0.13615754,0.1392815,0.34987605,0.40994236,0.2357609,4.081736775662116,3.8189964743820353,0.9312082999876398,72.26996384065792
39,0.082787484,0.90430593,0.60680586,0.33575535,0.8466543,0.20371154,0.45397195,0.42599216,3.184625078764965,4.104127284183995,0.934983234825402,43.52469859371877
40,0.0469207,1.0220195,0.70050013,0.1974177,0.49254262,0.38729644,0.5768062,0.44820437,2.1952545940967503,2.423358624621727,0.9382458974692588,26.29470435733485
41,0.23169665,0.5065683,0.7702751,0.23626687,0.77652955,0.08194572,0.7102208,0.14781931,3.30594690403889,3.639275893078236,0.9210363536342456,30.90501244388865
42,0.23412813,0.20636384,0.8299642,0.97749835,0.4889825,0.44862902,0.57223356,0.0,3.5329410873462788,3.606727102850938,0.9259408630169356,27.682704117302496
43,0.24545209,0.11977651,1.5283939,0.17268237,0.05465208,0.18027253,0.5794078,0.0,3.5102011545770737,2.9547133278353472,0.9287376541240822,30.82180281071585
44,0.16664374,0.855655,0.79113764,0.5547999,0.50640863,0.19955902,0.4072791,0.2912394,1.3481,1.3041,0.917096076788918,22.78986095693928
46,0.099767335,0.7411386,0.90376675,0.2811132,0.37646043,0.2489695,0.55264497,0.28919902,3.623805792073541,4.746858737859803,0.9539721753699162,34.67153633765198
47,0.037694737,0.8380328,0.69220954,0.35091156,0.575648,0.2408073,0.66475534,0.45934263,3.0243230251562245,2.7545842012498,0.9323555028205216,47.21812498457704
48,0.16350141,0.45419782,1.1447262,0.20578757,0.26308686,0.35941732,0.75094414,0.38491896,2.6327370396515213,2.3567776036913965,0.9257462825044676,26.127250942087336
50,0.005319096,0.7926128,0.5810596,0.17586021,0.352951,0.5253554,0.863158,0.16413987,1.900414737654321,2.444396219135802,0.9191117088346974,27.15607837731662
52,0.19484028,0.5691255,1.1256721,0.21398224,0.42539752,0.29279482,0.7819632,0.31710908,4.003665263463493,3.821989766294093,0.9468349311142172,85.77730040265791
53,0.0,0.5997066,0.7185286,0.31724206,0.2972976,0.13458699,0.47545126,0.15985566,2.018681200473305,3.239090680913622,0.9238619180453193,23.277641378764287
