Paziente,89,214,229,237,425,499,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
111,18.231249,30.859344,15.618333,0.16561398,4.859,0.27895534,0.7065571180402009,0.7357486637512147,0.5826801935986062,0.4745330654357089
112,18.286623,30.844831,15.660294,0.1627771,4.870327,0.2807977,0.7449284810542575,0.8404844576719577,0.4197691186046947,0.3032903332894685
113,18.252756,30.900969,15.641346,0.16171998,4.863714,0.267752,0.7540995370370371,0.8654802867383514,0.5827399410997509,0.6746067722602385
114,18.24737,30.807413,15.654368,0.16541144,4.8565793,0.27869856,0.7592560664112388,0.8635078053259871,0.4412283487579335,0.4102684102096122
115,18.24264,30.864048,15.615124,0.167836,4.8515873,0.27888086,0.6891681059011483,0.8013146698628502,0.624457385564722,0.5897382342935606
116,18.240498,30.825487,15.627359,0.16637556,4.847479,0.27549803,0.7198212826797385,0.8765906432748537,0.6984384323150896,0.698336525153324
117,18.255625,30.877323,15.618596,0.16417253,4.8577724,0.28447202,0.7591034184991826,0.9060066574839302,0.6148690527293582,0.5920294731486305
118,18.253508,30.80533,15.61928,0.16487677,4.8480253,0.2809332,0.8680529740500319,0.9327083333333334,0.7115106404403866,0.7282423253455297
119,18.289156,30.909046,15.664572,0.16240054,4.8631806,0.2855342,0.5864499285568241,0.7202850754008384,0.3244580001775999,0.3407019779348532
120,18.24752,30.864765,15.622367,0.17744292,4.8561177,0.27365586,0.7507812542614815,0.8513751871121862,0.6883044976705934,0.7051466388496993
123,18.246513,30.863447,15.609037,0.1715071,4.855386,0.27464885,0.6218885473023015,0.7841455890044109,0.4164891102846676,0.2319520876167254
124,18.250181,30.851358,15.618688,0.1654445,4.8531632,0.27804345,0.7134871978683562,0.8311051617142374,0.4862722111963972,0.5591407355588754
126,18.234901,30.866196,15.619861,0.14975849,4.8542094,0.28832644,0.7726390641611385,0.8900015031265032,0.6524151592401667,0.7108127721718195
127,18.243073,30.865574,15.620654,0.16777898,4.8479447,0.27790463,0.7969326852362567,0.9239122252333634,0.6721880582298619,0.6630347385816465
128,18.248457,30.795406,15.637452,0.16341594,4.8544326,0.27947748,0.7601526736527872,0.8477840063959542,0.7126553797823815,0.7167985416317237
129,18.287144,31.076674,15.654311,0.1621229,4.856578,0.27508026,0.8497123368920522,0.911080917874396,0.5827696458530534,0.6369331429160351
133,18.268082,30.874657,15.625144,0.16310842,4.8569436,0.29786402,0.7356855020801716,0.8591126384756503,0.6872217311623406,0.6474320883793814
135,18.250854,30.82682,15.702512,0.16890414,4.8711805,0.2780052,0.7027240998824964,0.8176600669818754,0.6390502231262876,0.6066108058270986
136,18.24766,30.828632,15.641399,0.16629232,4.8695974,0.27761257,0.6389805981292411,0.7788437855766449,0.4743329645694863,0.5751216499205919
137,18.263454,30.867247,15.620533,0.16593175,4.85839,0.28461826,0.7103457160206532,0.8062597387305731,0.53481506908617,0.5926898335824202
138,18.190706,30.850586,15.62053,0.17895804,4.8611774,0.2551202,0.7160054107885322,0.8816894353369763,0.2978623546192671,0.5630164059576134
139,18.243479,30.858116,15.623273,0.16788642,4.863588,0.27662998,0.6783916285760323,0.7262013323041225,0.5657115057909897,0.5493251356203827
141,18.24972,30.915352,15.649905,0.17328666,4.8591495,0.2618701,0.786606424792139,0.9001876876876878,0.5812137201769723,0.6179765850915113
142,18.237371,30.762651,15.617493,0.1681249,4.8524103,0.2766654,0.7859418085225562,0.8869897140945491,0.6651133303397047,0.583592048488497
144,18.294636,30.940071,15.6543255,0.17177163,4.873995,0.2975898,0.6297504268207199,0.7784596326651229,0.386840583482634,0.4168465963371685
146,18.259874,30.861792,15.626888,0.15986796,4.858268,0.2842096,0.7628183291795961,0.8663532649414543,0.6808583221650905,0.7169177178079065
147,18.24565,30.857098,15.622989,0.15898402,4.859612,0.29702193,0.758008723138676,0.8208151779230209,0.5339611747163832,0.6271340963800981
149,18.295809,30.937567,15.648764,0.18046753,4.8652306,0.27965614,0.5947045801458161,0.6775815165833637,0.3523207574431118,0.197602899834385
150,18.259068,30.859995,15.6259775,0.15588313,4.86037,0.288151,0.7964692951281629,0.8667924265465365,0.5914066209250528,0.6217407347184231
153,18.249033,30.865341,15.641337,0.17227727,4.8300023,0.2733649,0.8055781072773703,0.8875047404019079,0.737111718210483,0.6694097681655985
155,18.25024,30.872982,15.629894,0.167084,4.859636,0.27457842,0.786736849024709,0.8564494215765402,0.5813972068699085,0.6257121259311803
158,18.244608,30.904945,15.602547,0.16546603,4.8406286,0.27379647,0.7581756379800597,0.8479540598290598,0.63710718864992,0.6572907790794617
159,18.257576,30.897552,15.642173,0.16610098,4.8643227,0.2755773,0.6723105369697729,0.8022316633686349,0.4750609531110508,0.3720818232295659
161,18.241304,30.85568,15.622791,0.1643922,4.857598,0.27517748,0.6781130483724702,0.7814851721938775,0.3884697066905776,0.5107333369813969
163,18.24738,30.845161,15.612471,0.16793397,4.8555136,0.27477938,0.8330858876117495,0.9178462532299744,0.6887279588452296,0.6699125158997528
166,18.230917,30.86019,15.615361,0.1762666,4.859019,0.26311168,0.7825027960998164,0.8455979473449352,0.6914618874813725,0.572471315210799
168,18.247017,30.946083,15.621805,0.16200635,4.8555946,0.27905566,0.7291230741761046,0.843127240143369,0.539654309559791,0.6389256476776247
169,18.2789,30.982553,15.698373,0.14919503,4.8716497,0.2180793,0.6365345349053507,0.78185,0.2916758488658112,0.3122748354409513
170,18.24065,30.867481,15.6178665,0.16515596,4.853945,0.27603585,0.8349998603651916,0.886027105734767,0.7124945828382958,0.6656520527875261
171,18.24181,30.901663,15.608455,0.16618384,4.8524,0.27838722,0.7312124736799481,0.852591332829428,0.4696903297658484,0.2554577413815906
175,18.25413,30.859488,15.607345,0.16885641,4.8371863,0.2743749,0.8067526089625536,0.91747997997998,0.7406605000549593,0.6585837831778965
176,18.245758,30.893028,15.632663,0.17277366,4.8599257,0.27293235,0.7789336232211947,0.8016075720162225,0.6383279766465106,0.6425758201094928
178,18.24392,30.863659,15.613394,0.16907814,4.853625,0.2742674,0.6956938543974619,0.8340945975005059,0.4754387568768557,0.4911082977114279
182,18.248512,30.869184,15.656014,0.16593836,4.85236,0.27941668,0.8292976537553797,0.888244052061786,0.6101789964482449,0.672499221224376
183,18.241447,30.865688,15.620831,0.17545487,4.86152,0.27450708,0.7940439106198035,0.8853936718175127,0.6744650265222795,0.6877073530421874
188,18.23908,30.910065,15.616884,0.15873206,4.85444,0.28793836,0.6769333394098762,0.8345747776293057,0.733235318737978,0.5186072642632198
189,18.25881,30.897827,15.641158,0.162837,4.860911,0.27750325,0.7476053376755207,0.8059515352640302,0.4054879521724546,0.6144043504153025
190,18.267967,30.92461,15.708057,0.16124965,4.8502164,0.28309953,0.6359135658064087,0.8253235514063781,0.4084622556809146,0.4063986888423426
193,18.251299,30.866346,15.6090765,0.16343123,4.853338,0.2766985,0.761738527648856,0.8535723672828417,0.7467681340742035,0.6931088054061539
197,18.24581,30.886799,15.614026,0.1663392,4.8627405,0.2768054,0.6733126663357607,0.7301765398795942,0.3102949210107889,0.5302524320437672
199,18.292658,30.948519,15.663042,0.16277185,4.863567,0.27485597,0.53298919845802,0.666395050413294,0.3044543647075342,0.1656392683144577
200,18.263918,30.97371,15.629503,0.15542163,4.8548675,0.3003558,0.8059393531392599,0.8644938271604939,0.648127396172781,0.7137582872248012
205,18.282627,30.945042,15.640726,0.1653395,4.860686,0.28145522,0.7809952236018464,0.8823584114451264,0.5456768627743833,0.5808358380922307
