Patient,Slice,Feature_1005,Feature_853,Feature_62,Feature_804,Feature_5,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
29.0,170.0,6.827402,4.4571457,15.810342,10.629742,42.317043,0.1828727791266813,0.6273519948624192,3.699721226602947,3.822317287804627,27.272978039337488,61.7
29.0,169.0,6.815627,4.408039,15.527368,10.409835,42.139366,0.1880303956677439,0.5392977539733865,2.9119259323958424,3.904920953795092,28.3216682179136,64.0
29.0,168.0,6.828333,4.386021,15.802049,10.43023,42.108917,0.1792858009125087,0.5227930320027128,3.784218031875076,3.2390965243537786,29.518494592495603,63.0
29.0,167.0,6.8493423,4.400168,16.099936,10.422047,42.10417,0.1709401709401709,0.5948425967679309,5.018116736065454,3.046606764555482,29.02997245824136,62.7
29.0,171.0,6.8528748,4.489492,15.843278,10.765531,41.95329,0.1637283637858486,0.6335574311783074,3.5973249467763337,4.044443850285252,26.306630607873664,58.6
30.0,259.0,6.9044666,4.290312,16.556479,10.622711,41.143635,0.2103891665598701,0.4630460589548147,2.027681660899654,2.414285104019821,12.629507536033175,64.0
30.0,258.0,6.8929977,4.2710004,16.69663,10.459641,40.778175,0.2529165352912031,0.4672880609743653,2.873564253862438,3.920634205666412,12.336533806071971,63.8
30.0,257.0,6.8778915,4.25041,16.86393,10.281976,40.63955,0.2516950468402257,0.5524921161637761,2.7471662957403864,3.691837896589204,12.374444519191687,65.0
30.0,252.0,6.8229437,4.262373,16.308388,10.276316,40.62286,0.1916089965397924,0.4579712741881997,1.0605536332179932,1.4046280276816607,14.047958095229406,64.0
30.0,255.0,6.822546,4.2518682,16.620842,10.367169,40.65054,0.1712802768166089,0.4933162276985922,0.9245242214532872,1.428200692041523,13.368056774701463,66.0
31.0,223.0,6.5224786,4.0593495,16.43349,11.187355,42.83437,0.0911418898122499,0.5922270494861337,1.4003570329332102,1.5659464450600185,19.63355092662695,67.0
31.0,222.0,6.4843698,4.0629144,16.626772,11.111167,42.803516,0.0987257617728531,0.5501394057399506,1.7438473376423516,1.6888150200061558,19.916865976281542,64.0
31.0,224.0,6.529571,4.016907,16.287712,11.429419,42.874794,0.0949970696361021,0.5951995244883741,1.534818051041611,1.9426181469444292,19.533728584025788,67.0
31.0,220.0,6.432906,4.0077143,16.595232,10.837723,42.66438,0.1155617023511493,0.4847061353013851,1.628262810525026,1.9782916965739397,19.57291861001838,46.2
31.0,221.0,6.467538,4.0420785,16.649878,11.0083065,42.682076,0.1051180663844954,0.512416439214118,1.2492203163288036,2.355201603920696,19.979519439899192,59.0
33.0,194.0,6.0606923,3.8399925,16.7315,10.511883,44.00824,0.2321580117361878,0.531748377977911,4.9046620119603,4.369421314644199,34.50103151579309,27.0
33.0,198.0,5.9140816,3.8220286,16.300756,10.5527935,43.47967,0.186185998029175,0.500883702809127,4.548681085206851,4.296364226679047,33.86961885053229,30.0
33.0,197.0,5.9268003,3.7640615,16.19732,10.602001,43.330765,0.1920238545257587,0.4967620813487537,4.021524365129964,4.2934027679825775,34.12812633292519,33.0
33.0,196.0,5.946748,3.7442842,16.369936,10.481192,43.315292,0.1872492217040719,0.5026462594119881,3.814016891983517,4.312971313318174,34.43571385202352,29.0
33.0,195.0,6.0042105,3.8037252,16.527294,10.464351,43.694275,0.2159765139824607,0.5264603628407326,4.948555082991456,4.434542511950016,34.526227293325896,29.0
35.0,204.0,6.9150963,4.443301,16.31178,11.886325,39.9698,0.142720126769667,0.4642301945291119,3.0316298659327368,2.3328120764788056,18.957616484166767,42.0
35.0,203.0,6.9238024,4.4494314,16.110321,11.846513,40.105156,0.1760409057706355,0.5394455674588633,3.592403214024835,2.7367096826556283,20.42504868883509,44.2
35.0,202.0,6.9158506,4.456862,15.999032,11.774014,40.10692,0.1942940441482715,0.5484109493209325,3.284568929612661,2.821740941274469,21.40695336473909,32.0
35.0,205.0,6.885627,4.4122634,16.447775,12.108065,39.888535,0.1435834146880583,0.454719346077263,2.703199543185544,1.9299305568347176,19.251145802228308,36.400000000000006
35.0,206.0,6.8635683,4.406469,16.693352,12.081097,40.06681,0.1413769160925065,0.5023504874786835,2.5765101746514985,2.125015577987858,20.138015083637995,35.6
36.0,233.0,6.180028,4.5684505,14.274333,10.802127,43.13845,0.1232157869938378,0.4665476366727629,2.297188680814109,2.6669376668729963,20.684065050418152,58.8
36.0,231.0,6.137935,4.536309,14.391358,11.155193,42.85365,0.1999874320545449,0.4465084411025963,4.303453043013794,4.077313811124727,21.154601816377788,47.0
36.0,230.0,6.180413,4.5685797,14.364456,11.12462,43.006443,0.1659956499606645,0.4152182287795715,3.7006339950946368,3.4235272340228606,21.558532755672008,53.0
36.0,232.0,6.161751,4.55445,14.426931,11.030978,43.080753,0.1538811666258184,0.5101802573822604,3.5754700465669966,3.17737474178075,21.034951350700258,59.0
36.0,229.0,6.2395754,4.58513,14.516465,10.8137865,42.930695,0.1301692828562634,0.4223342069640797,2.504598337950138,1.802720837180671,22.158643763630327,64.0
38.0,217.0,6.428352,4.161429,15.16854,9.78602,42.71382,0.3997441720834312,0.4703780534362209,4.203983606129428,3.579293601691597,27.06381704815285,22.0
38.0,221.0,6.4713154,4.284173,15.568442,9.91004,42.25443,0.3228616078809957,0.5076554320921605,3.707961533743313,3.764402178261125,26.64991615040206,29.200000000000003
