Patient,Slice,Feature_494,Feature_435,Feature_305,Feature_74,Feature_213,Feature_398,Feature_39,Feature_472,Feature_355,Feature_249,Feature_319,Feature_308,Feature_176,Feature_493,Feature_32,Feature_474,Feature_137,Feature_29,Feature_117,Feature_452,Feature_349,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
25.0,198.0,1428.6317,385.77527,1798.5363,1614.2854,868.21954,1990.0585,918.68945,323.84918,0.0,0.0,220.87434,0.0,0.0,676.15967,0.0,122.56892,150.60774,411.26477,244.02557,0.0,0.0,0.1211100908070604,0.5538884463767051,1.748619755353762,2.120282510854901,20.26804497128967,40.0
25.0,199.0,1292.0178,385.6916,1875.9697,1499.912,779.2281,1913.56,878.6266,306.4611,0.0,31.60941,217.20036,0.0,0.0,671.36426,0.0,126.17418,189.44354,456.30045,345.12268,0.0,0.0,0.1277913304559955,0.5829499852599819,2.4668324263464063,1.848939763557891,19.843959386918517,41.0
25.0,196.0,1290.9119,384.7233,1787.1227,1768.0118,725.85925,1928.7048,1005.5477,440.6424,0.0,10.120934,217.89243,0.0,0.0,655.85583,0.0,120.43366,182.32773,521.4675,64.67549,0.0,0.0,0.1235361471051706,0.5410796606359204,1.939598000204061,1.714881701413688,22.36297988117329,29.0
26.0,147.0,2016.6017,470.37192,1578.2257,1155.2203,692.1108,2699.3657,1653.1854,628.32,435.95596,277.3113,264.91763,44.977905,440.49573,716.85785,157.16234,601.02155,819.7579,370.5843,1241.6831,359.59802,181.50883,0.1070547249237915,0.3363559423771063,1.4359123239947744,1.262737697779068,16.72291758896659,29.0
26.0,145.0,2019.179,519.9585,1395.5708,1009.1555,527.47565,2616.9717,1711.8527,624.64453,367.73575,221.72357,265.54666,75.06323,384.59824,617.21265,184.14297,580.75433,666.2147,607.7239,1085.9136,432.1608,210.7325,0.1410618679357525,0.3592537371916167,1.2986317668054728,1.488994646044021,18.346639090311303,26.500000000000004
26.0,143.0,1841.9921,556.66064,1375.338,852.74255,846.32117,2348.233,1117.7024,643.86633,429.1064,248.20345,251.59894,172.05263,153.97069,561.4238,193.58171,601.96814,466.34647,761.5375,657.0013,407.9023,208.65884,0.118543388429752,0.4345770883916648,1.587680785123967,1.7829287190082643,19.752053067279537,46.5
26.0,142.0,1266.9456,577.85583,1217.9344,884.9763,1198.1544,2296.5256,863.74445,529.4644,403.1112,154.71509,254.14577,142.07167,75.41228,562.1385,201.54163,611.52997,299.65842,915.2183,329.0579,340.58627,234.57497,0.0958299779419488,0.4140089715613727,2.8139771016421,1.2899408284023668,19.58499560704632,31.0
26.0,141.0,1262.2294,584.603,1144.7513,783.1012,1294.6696,2050.44,742.6964,489.31802,307.40945,192.30037,255.3802,88.419014,0.0,500.49588,229.28737,560.2998,222.02467,863.4858,195.13675,300.53174,217.4558,0.1061837712294963,0.4001347236188916,2.039628393090434,1.4086224415735231,19.13603474963119,28.0
27.0,257.0,1745.3612,541.99347,2181.9954,1165.2476,845.9111,1622.2664,271.91336,441.35583,0.0,383.08847,351.8205,0.0,211.16359,762.056,447.945,619.2995,0.0,169.1041,236.23326,467.64545,0.0,0.1802045004484264,0.7291740678717802,3.270775406899249,3.647826761282027,28.7424595646882,64.60000000000001
27.0,258.0,1756.1139,520.04407,2139.9883,1319.3956,794.8681,1548.6201,327.00732,464.3012,0.0,456.85422,379.0056,89.53472,189.43965,686.7297,463.16736,599.75494,13.61216,59.217724,189.41779,670.0207,73.1809,0.153083300303871,0.7288700467438798,2.666369401506143,2.591846677236095,28.130666619238788,73.0
27.0,259.0,1715.9562,530.02893,2298.3596,1312.5033,788.19135,1737.1199,209.74402,454.47025,0.0,507.49,421.8835,0.0,184.04286,623.4819,531.45953,640.2915,120.82891,0.0,44.341537,690.194,0.0,0.150302241088658,0.7248782854500194,2.9060229872395835,2.5309450418888644,28.327973387134747,75.2
27.0,260.0,1670.9663,594.0932,2320.7317,1212.7551,924.565,1758.5485,99.931625,509.50073,0.0,640.5488,464.54953,0.0,183.59457,572.42017,586.3854,619.82983,172.44348,0.0,0.0,695.5157,0.0,0.1416617707276256,0.72371646224637,2.8599682307955554,2.0394879737933738,28.21965351439386,76.0
27.0,261.0,1655.9447,554.1592,2447.6863,1321.9542,959.6019,1647.9663,0.0,522.4597,0.0,791.0885,418.2905,104.108406,155.3715,602.36847,584.52924,572.908,195.56946,56.064304,0.0,704.7153,0.0,0.1402908486085846,0.7316945667941797,3.120080775542331,2.041124301661847,27.969782698697824,77.0
29.0,170.0,1530.2843,480.03195,1391.568,1600.1271,744.8731,1590.6758,703.5008,1019.8552,302.21112,522.2684,476.72314,200.77142,277.5873,587.5878,232.03516,193.9541,459.64468,899.7868,604.0965,465.62225,154.72215,0.1828727791266813,0.6273519948624192,3.699721226602947,3.822317287804627,27.272978039337488,61.7
29.0,169.0,1583.4716,538.5416,1447.6958,1374.0188,674.5188,1510.331,788.7767,1072.29,226.35162,407.47443,400.30856,244.78352,266.95084,578.4714,188.18176,209.25598,456.15582,813.9004,609.3189,518.8169,75.3975,0.1880303956677439,0.5392977539733865,2.9119259323958424,3.904920953795092,28.3216682179136,64.0
29.0,168.0,1574.1885,553.6854,1346.8444,1224.3468,681.76025,1450.623,789.1034,1084.5416,108.831375,334.27826,386.14505,198.01736,219.84834,542.6962,256.53018,213.40378,342.1736,764.9972,567.4586,617.0391,77.79541,0.1792858009125087,0.5227930320027128,3.784218031875076,3.2390965243537786,29.518494592495603,63.0
29.0,167.0,1468.5574,585.04974,1332.669,1055.4155,796.8951,1346.8281,808.5868,1101.7006,111.883766,285.82675,364.38898,102.34262,181.0374,515.068,317.3712,309.49942,276.25363,729.06415,464.24863,611.95447,99.05615,0.1709401709401709,0.5948425967679309,5.018116736065454,3.046606764555482,29.02997245824136,62.7
29.0,171.0,1456.9263,448.7317,1227.1787,1916.7771,761.1462,1667.3838,624.8544,954.6346,306.86,623.9994,496.3084,177.63101,142.47809,588.8973,289.53815,188.3256,411.15286,797.80023,634.4522,445.19666,163.80302,0.1637283637858486,0.6335574311783074,3.5973249467763337,4.044443850285252,26.306630607873664,58.6
30.0,259.0,1445.9336,1087.4528,1331.6089,612.9597,537.3908,780.59644,670.32947,642.4814,0.0,332.1134,137.8252,0.0,224.41037,406.34012,94.83959,479.4858,455.79105,382.42303,292.76767,331.4289,70.61919,0.2103891665598701,0.4630460589548147,2.027681660899654,2.414285104019821,12.629507536033175,64.0
30.0,258.0,1391.5254,1143.0475,1537.2527,659.2067,565.7354,799.2063,746.593,649.1662,0.0,398.73483,135.79787,0.0,196.45624,413.32422,90.08312,469.19553,453.6424,269.89755,419.52298,377.34372,0.0,0.2529165352912031,0.4672880609743653,2.873564253862438,3.920634205666412,12.336533806071971,63.8
30.0,257.0,1424.4856,1128.4215,1687.3822,799.5728,621.02637,930.17914,972.37537,633.81287,0.0,270.95453,169.79434,0.0,214.12535,413.84216,85.401726,497.50156,379.07816,294.4065,453.7848,217.39383,0.0,0.2516950468402257,0.5524921161637761,2.7471662957403864,3.691837896589204,12.374444519191687,65.0
30.0,252.0,1416.6018,623.1858,1581.5149,473.10196,1208.3057,1130.3511,1076.4438,541.1901,0.0,337.6054,279.09146,84.00725,411.71533,378.50616,307.632,301.7143,111.442245,70.10569,348.5279,90.13574,125.523346,0.1916089965397924,0.4579712741881997,1.0605536332179932,1.4046280276816607,14.047958095229406,64.0
30.0,255.0,1584.2173,937.66907,1765.3477,947.0823,899.7036,1051.9506,1442.2305,756.6405,0.0,296.4871,171.54733,0.0,194.10268,434.7304,85.52759,612.1389,312.7357,322.64948,301.23486,198.09755,0.0,0.1712802768166089,0.4933162276985922,0.9245242214532872,1.428200692041523,13.368056774701463,66.0
31.0,223.0,1856.825,996.26935,1652.3605,2435.962,961.993,1307.4751,1338.9979,559.17145,29.286627,266.93826,134.74017,0.0,394.44037,396.17776,17.091745,323.39746,433.64835,1080.1462,0.0,0.0,337.82968,0.0911418898122499,0.5922270494861337,1.4003570329332102,1.5659464450600185,19.63355092662695,67.0
31.0,222.0,1913.1431,998.2339,1866.8138,2420.954,1069.4004,1282.3224,1366.9,477.8038,0.0,305.00616,143.35683,0.0,409.14252,389.35233,38.377026,287.18878,429.7218,1101.3123,39.79774,0.0,234.50691,0.0987257617728531,0.5501394057399506,1.7438473376423516,1.6888150200061558,19.916865976281542,64.0
31.0,224.0,1780.1783,979.9013,1721.4209,2514.192,850.45935,1386.0862,1209.8643,530.30646,100.70494,288.52444,132.83348,0.0,446.19385,389.587,12.37657,351.00504,565.5697,1217.3712,0.0,0.0,390.69742,0.0949970696361021,0.5951995244883741,1.534818051041611,1.9426181469444292,19.533728584025788,67.0
31.0,220.0,1990.5021,1084.6665,1536.4083,2329.0977,1048.5516,1303.2971,1404.2263,560.05,62.836094,269.1811,140.39903,0.0,413.98575,394.38223,43.862038,346.47565,334.04602,840.67096,232.89323,0.0,173.81638,0.1155617023511493,0.4847061353013851,1.628262810525026,1.9782916965739397,19.57291861001838,46.2
31.0,221.0,2008.6797,1026.2501,1686.3853,2297.1543,1123.6091,1258.1385,1358.4313,505.11346,0.0,301.43433,144.67242,0.0,414.19727,387.04822,48.242558,333.1327,336.16476,927.9779,156.24664,0.0,141.13615,0.1051180663844954,0.512416439214118,1.2492203163288036,2.355201603920696,19.979519439899192,59.0
33.0,194.0,1680.6924,605.1973,1311.6454,189.94644,842.10736,1979.4547,1479.3864,978.7367,0.0,249.90842,321.04407,2.9997506,1276.8805,666.31836,15.007486,315.33786,0.0,0.0,855.1678,562.0318,28.883108,0.2321580117361878,0.531748377977911,4.9046620119603,4.369421314644199,34.50103151579309,27.0
33.0,198.0,1675.8756,549.2331,1866.9331,372.41168,979.26996,1920.7114,1455.0074,905.76666,0.0,429.28766,232.37564,254.4876,1393.7615,614.9188,0.0,204.40875,0.0,287.78107,189.59196,269.77853,96.81364,0.186185998029175,0.500883702809127,4.548681085206851,4.296364226679047,33.86961885053229,30.0
33.0,197.0,1686.6248,562.6308,1662.294,367.5849,831.60657,2038.6908,1610.1802,986.2338,0.0,418.5454,239.41057,176.5865,1543.8497,649.3332,2.2959685,220.541,35.807053,216.03418,497.46417,298.94806,42.185074,0.1920238545257587,0.4967620813487537,4.021524365129964,4.2934027679825775,34.12812633292519,33.0
33.0,196.0,1681.8898,586.99506,1458.4727,352.80545,1009.20746,2056.5522,1616.3256,997.0872,0.0,370.4094,288.90714,27.37516,1460.3864,677.9584,11.033287,285.59915,61.504562,81.10978,678.2978,439.9493,56.34323,0.1872492217040719,0.5026462594119881,3.814016891983517,4.312971313318174,34.43571385202352,29.0
33.0,195.0,1623.5375,610.39435,1496.9308,194.64166,955.0166,2040.6748,1564.6283,966.1895,1.6114366,264.21436,298.55362,0.0,1332.3313,675.76056,12.414931,304.76636,72.747116,0.0,794.8163,495.87015,121.439514,0.2159765139824607,0.5264603628407326,4.948555082991456,4.434542511950016,34.526227293325896,29.0
35.0,204.0,1201.9596,706.8638,1307.4258,450.21417,1433.3319,1953.1816,219.56047,831.4351,376.24442,912.96576,296.0342,73.93035,19.338451,427.24496,1046.8752,448.0746,733.4155,0.0,384.20734,0.0,160.19476,0.142720126769667,0.4642301945291119,3.0316298659327368,2.3328120764788056,18.957616484166767,42.0
35.0,203.0,1199.9504,523.87494,1133.817,299.98453,1290.5586,1908.2223,189.8458,838.0409,196.624,912.2925,280.44797,65.93727,30.966677,416.83286,807.4482,417.09076,569.6219,0.0,371.13348,0.0,119.33607,0.1760409057706355,0.5394455674588633,3.592403214024835,2.7367096826556283,20.42504868883509,44.2
