Paziente,352,1542,1337,1221,370,1941,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,0.0,0.0,0.0,1655.3492,8197.488,50134.21,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,0.0,175.34595,0.0,0.0,9307.83,60209.1,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,0.0,503.26782,0.0,0.0,9105.92,51282.64,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,0.0,168.83032,0.0,0.0,9488.166,70892.24,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,0.0,1152.6897,0.0,0.0,9350.037,78783.51,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,0.0,1101.2366,0.0,0.0,9448.99,82982.945,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,0.0,1541.3772,0.0,0.0,9717.748,82567.43,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,0.0,1366.2522,0.0,0.0,9499.342,65866.81,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,0.0,0.0,0.0,11670.459,7785.688,44898.89,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,0.0,1388.0491,0.0,0.0,9693.127,69427.336,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,0.0,1449.9084,0.0,0.0,9924.936,83360.77,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,0.0,0.0,5912.8916,0.0,7241.3774,40277.414,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,0.0,208.83032,0.0,0.0,9187.369,74495.445,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,0.0,934.3147,0.0,0.0,9630.678,74505.9,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,0.0,174.8772,0.0,0.0,8998.658,84311.57,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,0.0,1681.2834,0.0,0.0,9583.553,80213.74,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,0.0,1685.3147,0.0,0.0,9161.479,80976.29,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,0.0,1079.0647,0.0,0.0,9544.197,73680.695,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,0.0,138.9397,2521.751,0.0,9007.764,70091.625,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,0.0,503.0647,0.0,0.0,9421.982,70742.234,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,0.0,292.72095,0.0,0.0,9442.104,73799.4,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,0.0,1561.7834,0.0,0.0,9558.498,70019.48,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,0.0,0.0,0.0,6255.1304,7549.555,42212.023,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
