Paziente,770,89,1172,926,984,424,116,587,345,740,408,306,118,355,903,42,1901,1073,420,874
5,0.0,0.13891205,0.0,0.0,0.3245173,0.41160342,0.64942455,0.41826248,0.0,0.19887882,0.23967244,0.17102572,0.5147759,0.0,0.02232046,0.4813344,0.23636155,0.14942199,0.7909713,0.4251449
12,0.5264078,0.6635832,0.0,0.4049576,0.76631784,0.15530822,0.29786584,0.40059617,0.20887098,0.1640625,0.5930132,0.3789948,0.35009408,0.23164858,0.36418852,0.3600714,0.0789896,0.49024862,0.15737343,0.17544727
15,0.0,0.2521723,0.13435474,0.101202965,0.54868186,0.0,0.06134974,0.117035,0.18378103,0.053700536,0.32768583,0.13425547,0.0,0.4551444,0.27402264,0.5883224,0.08931049,0.2747444,0.09163736,0.0
16,1.090687,0.36037493,0.18298976,0.26106334,0.11471692,0.45340744,0.020571843,0.5450253,0.22271135,0.28683284,0.51376563,0.2579926,0.04058601,0.48682338,0.20250966,0.6778947,0.19163562,0.064940445,0.6266381,0.3856836
17,0.39490288,0.0020999312,0.0,0.11316277,0.25457644,0.19298998,0.58524144,0.18275683,0.0,0.45706728,0.20451735,0.3202769,0.59715366,0.0,0.1870813,0.014302991,0.117194846,0.036552727,0.44103193,0.43592447
19,0.40174022,0.05471024,0.40413198,0.263138,0.11554369,0.30661964,0.14905383,0.32050577,0.25752938,0.085538834,0.022052903,0.19781098,0.37767228,0.44463748,0.07499598,0.37705976,0.13851526,0.0,0.41629523,0.29343325
22,0.036252543,0.0,0.0,0.0,0.38223618,0.1953921,0.5471871,0.2582131,0.0,0.28224194,0.1860298,0.04046671,0.22487396,0.0,0.17043097,0.3041718,0.08382864,0.1169407,0.5928866,0.5092822
23,0.6820204,0.18883622,0.4943713,0.0,0.4042169,0.6598007,0.6137089,0.6969844,0.30077577,0.5136093,0.31042913,0.14264455,0.45755732,0.7410972,0.17531273,0.9786216,0.06583992,0.2480531,0.79604834,0.36106664
24,0.0,0.72795886,0.0,0.22301237,0.66497934,0.15785211,0.34885406,0.11591588,0.0,0.055245996,0.19814932,0.2244784,0.63190895,0.0,0.25349328,0.09520854,0.0473893,0.35736904,0.68599313,0.0
25,0.4909255,0.5356228,0.0,0.19593783,0.45112014,0.1572732,0.6247834,0.2831911,0.18350542,0.2945312,0.26153317,0.14755599,0.20413736,0.61252135,0.3090669,0.60537714,0.0,0.16770282,0.36304316,0.33784854
26,0.47719258,0.01953879,0.0,0.11724034,0.32530192,0.17967948,0.41043663,0.14562924,0.0,0.24908015,0.16017121,0.18293738,0.3146258,0.0,0.15786654,0.33201167,0.026827335,0.066505514,0.72853833,0.5597941
27,0.0014041066,0.23596779,0.16841793,0.17522632,0.3186381,0.13888708,0.5515051,0.16516566,0.09191621,0.17915553,0.039327573,0.12242305,0.5362468,0.15977757,0.12857145,0.29151633,0.12498065,0.038818546,0.68584806,0.3609078
29,0.18808198,0.0,0.0,0.28071654,0.62883276,0.3190366,0.5048439,0.49514985,0.18936539,0.60530996,0.3170106,0.11433986,0.17856766,0.3915257,0.34038922,0.5595857,0.07231797,0.30107114,1.095228,0.46378487
30,0.49520707,0.04908836,0.34598723,0.22976561,0.2738607,0.6230987,0.29168385,0.48070008,0.18875146,0.24107704,0.20867716,0.16452107,0.35401264,0.43315136,0.14736964,0.27527994,0.060031787,0.024334826,0.5464035,0.34184426
31,0.33478817,0.0,0.04712443,0.2304172,0.03778048,0.12502316,0.15383227,0.09486154,0.0,0.08451229,0.0,0.27423337,0.48859012,0.0,0.08297721,0.116326585,0.18448365,0.0,0.0,0.3163371
33,0.38269228,0.104433775,0.22376287,0.08130516,0.5516103,0.13815174,0.3874377,0.50602067,0.34151858,0.055141747,0.4107879,0.16781294,0.15089287,0.49697387,0.6035205,0.48601407,0.08513969,0.3546742,0.71025187,0.21376036
35,0.0,0.0,0.0,0.047864556,0.36006752,0.31313097,0.44904423,0.4494177,0.0,0.28724295,0.25796318,0.17539603,0.5046421,0.091302276,0.1192483,0.24700147,0.14300352,0.07392482,0.7136705,0.53017294
36,0.0045858547,0.46751362,0.0,0.25363886,0.55440384,0.3818398,0.47052455,0.52320623,0.07029359,0.17591038,0.3058627,0.13872734,0.30526072,0.06793231,0.18169507,0.412001,0.389817,0.15462396,1.1294024,0.15506919
38,0.0,0.47772074,0.156237,0.0,0.25430322,0.092790134,0.49410844,0.1947104,0.13588327,0.073382646,0.24971004,0.11729941,0.013848472,0.23280658,0.46336436,0.46119064,0.0,0.115601785,0.5535825,0.31211203
39,0.092265904,0.18371552,0.15826961,0.07359691,0.52865505,0.18476048,0.22000434,0.19852087,0.004035551,0.18022871,0.33491498,0.39061692,0.20857579,0.03848207,0.13090228,0.1879811,0.093413085,0.47362572,0.39210245,0.36230856
40,0.16375276,0.19265148,0.0,0.12123871,0.27194425,0.08133193,0.41404533,0.2622339,0.2354556,0.15623316,0.17112331,0.05790279,0.34052062,0.49970645,0.23521069,0.6505153,0.0,0.09373569,0.1123122,0.2233531
41,0.0,0.049176395,0.0,0.005005926,0.19222787,0.25020862,0.36487287,0.26285738,0.0,0.12366101,0.06456758,0.15240182,0.40068546,0.0,0.0224095,0.045050956,0.0040181875,0.0069354847,0.108489186,0.20572586
42,0.14085352,0.4421634,0.019487858,0.29815078,0.26993704,0.082616396,0.27608627,0.079923645,0.10903143,0.005157098,0.16819823,0.33053368,0.4319577,0.23260109,0.16397676,0.3173036,0.03396628,0.0728685,0.0,0.21282093
