Paziente,180,243,342,593,945,1049,1116,1508,1614,1959,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,3.6105747,3.9035609,1.2799395,3.3242738,3.5644157,1.0200206,0.8256339,1.3275275,0.68574905,0.18343377,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,8.095529,4.468092,0.82334673,0.51204544,2.1312292,5.294036,7.393545,2.7996929,8.797015,1.3602829,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,0.9217061,3.906554,0.25845724,0.6306887,1.1297879,2.9991786,0.36083388,1.0778661,1.5342386,0.0,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,4.442493,3.3931162,0.91798556,1.8856158,0.15067852,4.0551434,1.3479171,2.9251816,2.9198246,0.8982303,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,12.806056,12.368397,1.3251326,10.687096,2.470763,2.9523952,2.4144163,3.899307,4.894327,3.1442993,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,25.29522,26.555761,3.7214537,13.061224,1.67873,1.7053552,0.8658906,3.322441,2.4120011,22.203234,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,15.387019,2.8577223,1.8990048,5.111019,1.6901093,4.547355,8.214776,2.2991076,7.2939873,6.04788,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,1.0600597,1.7613455,0.3764549,0.4137147,0.7230729,2.1672673,2.2537231,1.3793337,0.8718514,0.0,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,3.5292025,2.6499903,3.1573114,0.6118408,1.6271229,3.648288,2.2892327,1.151715,0.6566377,0.68953705,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,13.237378,10.548807,4.921124,7.4269347,4.3626676,2.86257,1.6453909,4.1507564,2.7880955,3.5307503,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,8.418991,7.042166,1.338123,3.7829633,1.6695235,3.9606903,1.7923676,5.1761665,5.28703,2.572617,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,11.425377,6.812074,1.4860538,10.612157,1.9980328,4.6416802,2.1075292,1.8457222,2.2865133,1.8804587,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,9.629451,5.8956795,4.961273,3.2268167,5.37962,3.6268477,2.9909587,6.123026,6.0030947,2.6974156,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,2.5558934,8.724859,3.1783,0.9154249,2.9150891,1.8495588,2.1716318,1.7903728,0.62475014,0.25677574,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,15.729697,14.729785,10.12951,11.313493,7.390179,3.259328,0.5128938,2.9383717,1.6454508,14.6705265,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,5.042692,3.6261811,1.8204616,0.9162633,0.7060419,0.8953227,2.4860415,3.0710196,1.9095013,1.0231985,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,6.3600426,6.1471415,1.6044064,4.2387066,1.4450593,6.5075984,2.621769,2.9876873,5.6870136,3.4526582,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,8.230786,4.483852,1.2721224,0.68735194,1.4482744,2.0761323,2.2992773,2.593179,3.1802354,1.8567106,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,1.8789098,2.8187838,2.8389964,0.4766444,1.200419,7.303934,3.1609054,0.35302293,1.7873893,0.0,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,4.030891,3.0817287,1.8350021,0.37458915,0.49042875,7.84676,1.9423479,1.1308606,1.4068301,0.0,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,8.995914,5.061423,1.3579797,8.3898535,1.9980485,1.2331256,1.3565851,6.1763945,2.2093577,1.428447,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,1.9858598,5.2853875,1.2907972,0.081775784,0.56032807,3.7460077,3.1657557,0.22740382,2.014218,0.19947794,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,2.2548535,1.9736034,1.426278,0.33727425,0.91241246,4.7571774,3.9488888,1.4366934,5.7203755,1.1853592,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,0.54429144,0.69176686,0.37560457,1.9075239,0.0,0.5766994,2.094151,1.1836913,0.060748696,0.94332135,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
