Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
40,0.69915533,0.11600211,0.123016685,0.6350728,0.29890263,0.35705042,0.26614594,0.3985889,0.19700778,0.25294057,0.7549392,0.94663495,0.81903076,0.14714321,0.106425285,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,0.36194944,0.0,0.16981882,0.423691,0.37913394,0.16458195,0.41096509,0.31672657,0.1604355,0.50917375,0.58914965,0.54369617,0.69691116,0.2295548,0.0,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,0.019159436,0.68367255,0.038045198,0.9806069,1.0011104,0.1463803,0.8718983,1.1474001,0.20034897,2.096631,0.43075842,1.2191207,0.66169167,0.8447825,0.29107922,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,1.2408516,1.4167967,0.0,1.4047983,1.6682053,0.6087401,1.2870803,0.7088506,0.09938866,1.3129314,0.4542197,1.5157788,1.443131,0.9760816,0.18799846,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,0.10927981,0.00979808,0.0,0.58922374,0.7702733,0.41909826,0.28167212,0.0,0.2923842,0.27975252,0.28724948,0.5970985,0.73291,0.01347667,0.0,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
46,0.6771337,0.21879253,0.12808633,0.8039712,0.28749585,0.3601749,0.21477485,0.21778095,0.1855703,0.12795189,0.7213921,0.5488097,0.87455034,0.16776007,0.1381846,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,0.399727,0.22130516,0.041990966,0.63467765,0.3200637,0.49545836,0.48790324,0.4266783,0.2535925,0.20453379,0.64714587,0.5334661,0.7675966,0.0,0.080261305,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,0.5514798,0.31018743,0.25270176,0.8079206,0.3059994,0.43827188,0.39353836,0.5112288,0.14062518,0.25351527,0.7699602,0.8658671,0.90472263,0.010060549,0.10428472,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,0.65175724,0.36458102,0.09689519,0.4241958,0.51918554,0.15627521,0.8897904,0.13987863,0.13338375,0.24831894,0.85325456,0.61694646,0.59988034,0.30598637,0.082650766,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,0.48178005,0.25135878,0.10414615,0.78463244,0.28925598,0.36465502,0.3987068,0.17184985,0.2381435,0.15318784,0.64546126,0.5140364,0.7740072,0.0860374,0.10886425,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,0.67885876,0.43113306,0.29808754,0.5637816,0.30686933,0.13342017,0.5807067,0.06914264,0.09784526,0.152352,0.7803087,0.7716437,0.792022,0.10741648,0.14713986,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
